,DSM123
RPE_RS24410,1
RPE_RS24430,1
RPE_RS24435,1
RPE_RS24440,1
RPE_RS24445,1
RPE_RS24465,1
RPE_RS24520,1
RPE_RS24525,1
RPE_RS24545,1
RPE_RS24630,0
RPE_RS24645,0
RPE_RS24690,0
RPE_RS24735,0
RPE_RS24765,0
RPE_RS24795,0
RPE_RS24810,0
RPE_RS24890,0
RPE_RS24995,1
RPE_RS25100,0
RPE_RS25145,1
RPE_RS25155,0
RPE_RS25295,0
