rpal_gene,primary_target,all_targets,target_count,best_hit,best_pident,best_qcov,best_evalue,best_bitscore,pass_threshold,reverse_supported,has_extra_copies
RPE_RS03030,ACXYSJ_18175,ACXYSJ_18175,1,ACXYSJ_18175,98.17,99.77,0.00e+00,894.0,yes,yes,no
RPE_RS03035,ACXYSJ_18170,ACXYSJ_18170,1,ACXYSJ_18170,95.43,99.75,0.00e+00,784.0,yes,yes,no
RPE_RS03040,ACXYSJ_18165,ACXYSJ_18165,1,ACXYSJ_18165,90.86,99.71,0.00e+00,624.0,yes,yes,no
RPE_RS03045,ACXYSJ_18160,ACXYSJ_18160,1,ACXYSJ_18160,88.37,97.73,1.99e-112,314.0,yes,yes,no
RPE_RS03050,ACXYSJ_18155,ACXYSJ_18155,1,ACXYSJ_18155,96.08,99.61,0.00e+00,498.0,yes,yes,no
RPE_RS03055,ACXYSJ_18150,ACXYSJ_18150,1,ACXYSJ_18150,96.92,99.62,0.00e+00,524.0,yes,yes,no
RPE_RS03060,ACXYSJ_18145,ACXYSJ_18145,1,ACXYSJ_18145,92.69,99.74,0.00e+00,705.0,yes,yes,no
RPE_RS03065,ACXYSJ_18140,ACXYSJ_18140,1,ACXYSJ_18140,91.41,99.82,0.00e+00,1030.0,yes,yes,no
RPE_RS03070,ACXYSJ_18135,ACXYSJ_18135,1,ACXYSJ_18135,87.21,99.61,3.02e-168,462.0,yes,yes,no
RPE_RS03075,,,0,,,,,,no,no,no
RPE_RS03080,,,0,,,,,,no,no,no
RPE_RS03085,,,0,ACXYSJ_18130,33.67,46.01,1.53e-37,146.0,no,no,no
RPE_RS03090,,,0,ACXYSJ_00140,29.50,40.06,1.01e-11,60.5,no,no,no
RPE_RS03095,,,0,ACXYSJ_18125,53.70,93.80,5.09e-96,280.0,no,no,no
RPE_RS03100,,,0,ACXYSJ_23055,22.87,99.33,2.41e-08,53.1,no,no,no
RPE_RS03105,,,0,,,,,,no,no,no
RPE_RS03110,,,0,,,,,,no,no,no
RPE_RS03115,,,0,ACXYSJ_23740,29.27,103.54,1.02e-13,64.3,no,no,no
RPE_RS03120,,,0,,,,,,no,no,no
RPE_RS03125,ACXYSJ_14010,ACXYSJ_14010,1,ACXYSJ_14010,77.97,98.33,6.42e-31,99.8,yes,yes,no
RPE_RS03130,,,0,ACXYSJ_14050,86.84,86.36,2.24e-21,74.7,no,no,no
RPE_RS03135,ACXYSJ_14010,ACXYSJ_14010,1,ACXYSJ_14010,79.66,98.33,2.29e-31,100.0,yes,yes,no
RPE_RS03140,,,0,ACXYSJ_12530,82.61,95.83,3.54e-25,84.3,no,no,no
RPE_RS03145,ACXYSJ_14000,ACXYSJ_14000,1,ACXYSJ_14000,72.17,100.00,3.30e-116,328.0,yes,yes,no
RPE_RS03150,ACXYSJ_13995,ACXYSJ_13995,1,ACXYSJ_13995,74.97,99.09,0.00e+00,1166.0,yes,yes,no
RPE_RS03155,ACXYSJ_13990,ACXYSJ_13990,1,ACXYSJ_13990,71.28,98.58,0.00e+00,1135.0,yes,yes,no
RPE_RS03160,ACXYSJ_13985,ACXYSJ_13985,1,ACXYSJ_13985,73.86,98.71,1.07e-81,235.0,yes,yes,no
RPE_RS03165,ACXYSJ_13980,ACXYSJ_13980,1,ACXYSJ_13980,69.42,98.95,0.00e+00,546.0,yes,yes,no
RPE_RS03170,,,0,ACXYSJ_01020,46.92,39.51,1.98e-116,374.0,no,no,no
RPE_RS03175,ACXYSJ_23705,ACXYSJ_23705,1,ACXYSJ_23705,86.45,99.71,0.00e+00,625.0,yes,yes,no
RPE_RS03185,,,0,,,,,,no,no,no
RPE_RS03190,,,0,ACXYSJ_15310,35.88,97.04,2.08e-17,70.5,no,no,no
RPE_RS03195,,,0,,,,,,no,no,no
RPE_RS03200,,,0,,,,,,no,no,no
RPE_RS03210,ACXYSJ_02545,ACXYSJ_02545,1,ACXYSJ_02545,81.01,100.41,0.00e+00,786.0,yes,yes,no
RPE_RS03215,ACXYSJ_02535,ACXYSJ_02535,1,ACXYSJ_02535,78.90,95.61,4.17e-47,144.0,yes,yes,no
RPE_RS03220,ACXYSJ_02530,ACXYSJ_02530,1,ACXYSJ_02530,76.96,99.68,0.00e+00,969.0,yes,yes,no
RPE_RS03225,ACXYSJ_02525,ACXYSJ_02525,1,ACXYSJ_02525,79.07,99.08,3.12e-123,345.0,yes,yes,no
RPE_RS03230,ACXYSJ_02520,ACXYSJ_02520,1,ACXYSJ_02520,66.67,76.23,2.84e-38,122.0,yes,yes,no
RPE_RS03235,ACXYSJ_02515,ACXYSJ_02515,1,ACXYSJ_02515,94.97,99.67,0.00e+00,550.0,yes,yes,no
RPE_RS03240,ACXYSJ_02510,ACXYSJ_02510,1,ACXYSJ_02510,77.15,80.97,0.00e+00,502.0,yes,yes,no
RPE_RS03245,ACXYSJ_02505,ACXYSJ_02505,1,ACXYSJ_02505,85.59,98.28,1.08e-146,405.0,yes,yes,no
RPE_RS03250,,,0,ACXYSJ_15015,63.44,93.00,4.93e-43,132.0,no,no,no
RPE_RS03255,ACXYSJ_02500,ACXYSJ_02500,1,ACXYSJ_02500,90.04,99.65,0.00e+00,496.0,yes,yes,no
RPE_RS03260,,,0,,,,,,no,no,no
RPE_RS03265,ACXYSJ_02490,ACXYSJ_02490,1,ACXYSJ_02490,82.38,99.48,0.00e+00,648.0,yes,yes,no
RPE_RS03270,ACXYSJ_02485,ACXYSJ_02485,1,ACXYSJ_02485,78.78,99.19,1.11e-128,361.0,yes,yes,no
RPE_RS03275,ACXYSJ_02480,ACXYSJ_02480,1,ACXYSJ_02480,78.22,96.19,4.57e-176,486.0,yes,yes,no
RPE_RS03280,ACXYSJ_02475,ACXYSJ_02475,1,ACXYSJ_02475,83.43,96.69,1.20e-110,310.0,yes,yes,no
RPE_RS03285,ACXYSJ_02470,ACXYSJ_02470,1,ACXYSJ_02470,73.54,99.24,0.00e+00,547.0,yes,yes,no
RPE_RS03290,ACXYSJ_03205,ACXYSJ_03205,1,ACXYSJ_03205,73.96,98.83,0.00e+00,529.0,yes,yes,no
RPE_RS03295,ACXYSJ_03200,ACXYSJ_03200,1,ACXYSJ_03200,77.86,100.74,5.88e-157,435.0,yes,yes,no
RPE_RS03300,ACXYSJ_03190,ACXYSJ_03190,1,ACXYSJ_03190,81.90,99.69,0.00e+00,506.0,yes,yes,no
RPE_RS03305,ACXYSJ_03185,ACXYSJ_03185,1,ACXYSJ_03185,85.92,99.71,0.00e+00,590.0,yes,yes,no
RPE_RS03310,ACXYSJ_03180,ACXYSJ_03180,1,ACXYSJ_03180,79.73,89.70,1.52e-82,237.0,yes,yes,no
RPE_RS03315,ACXYSJ_03175,ACXYSJ_03175,1,ACXYSJ_03175,76.71,96.05,6.18e-24,83.2,yes,yes,no
RPE_RS03320,ACXYSJ_03165,ACXYSJ_03165,1,ACXYSJ_03165,78.19,98.74,0.00e+00,956.0,yes,yes,no
RPE_RS03325,ACXYSJ_03160,ACXYSJ_03160,1,ACXYSJ_03160,90.41,98.65,4.73e-48,144.0,yes,yes,no
RPE_RS03330,ACXYSJ_03155,ACXYSJ_03155,1,ACXYSJ_03155,77.78,99.42,9.07e-95,269.0,yes,yes,no
RPE_RS03335,ACXYSJ_03150,ACXYSJ_03150,1,ACXYSJ_03150,70.97,93.94,2.13e-26,88.6,yes,yes,no
RPE_RS03340,ACXYSJ_03145,ACXYSJ_03145,1,ACXYSJ_03145,83.94,99.10,0.00e+00,575.0,yes,yes,no
RPE_RS03345,ACXYSJ_03140,ACXYSJ_03140,1,ACXYSJ_03140,90.81,99.90,0.00e+00,1731.0,yes,yes,no
RPE_RS03350,,,0,,,,,,no,no,no
RPE_RS03355,ACXYSJ_22765,ACXYSJ_22765,1,ACXYSJ_22765,77.34,90.14,4.77e-72,209.0,yes,yes,no
RPE_RS03360,ACXYSJ_22760,ACXYSJ_22760,1,ACXYSJ_22760,83.39,99.83,0.00e+00,1053.0,yes,yes,no
RPE_RS03365,ACXYSJ_22755,ACXYSJ_22755,1,ACXYSJ_22755,94.53,99.75,0.00e+00,752.0,yes,yes,no
RPE_RS03370,ACXYSJ_22745,ACXYSJ_22745,1,ACXYSJ_22745,92.95,99.86,0.00e+00,1417.0,yes,yes,no
RPE_RS03375,ACXYSJ_22740,ACXYSJ_22740,1,ACXYSJ_22740,84.31,99.51,1.29e-129,360.0,yes,yes,no
RPE_RS03380,ACXYSJ_22735,ACXYSJ_22735,1,ACXYSJ_22735,81.48,101.25,1.11e-93,266.0,yes,yes,no
RPE_RS03385,ACXYSJ_22730,ACXYSJ_22730,1,ACXYSJ_22730,87.28,99.78,0.00e+00,827.0,yes,yes,no
RPE_RS03390,ACXYSJ_22725,ACXYSJ_22725,1,ACXYSJ_22725,73.58,98.15,1.77e-86,248.0,yes,yes,no
RPE_RS03400,,,0,,,,,,no,no,no
RPE_RS03405,,,0,,,,,,no,no,no
RPE_RS03410,ACXYSJ_22415,ACXYSJ_22415,1,ACXYSJ_22415,86.36,99.79,0.00e+00,878.0,yes,yes,no
RPE_RS03415,ACXYSJ_22420,ACXYSJ_22420,1,ACXYSJ_22420,87.42,100.25,0.00e+00,2882.0,yes,yes,no
RPE_RS03420,,,0,ACXYSJ_22425,40.89,114.96,6.03e-36,125.0,no,no,no
RPE_RS03425,ACXYSJ_22435,ACXYSJ_22435,1,ACXYSJ_22435,83.02,101.27,1.27e-91,260.0,yes,yes,no
RPE_RS03430,ACXYSJ_22440,ACXYSJ_22440,1,ACXYSJ_22440,85.03,99.37,0.00e+00,561.0,yes,yes,no
RPE_RS03435,ACXYSJ_22445,ACXYSJ_22445,1,ACXYSJ_22445,85.47,98.97,0.00e+00,517.0,yes,yes,no
RPE_RS03440,,,0,ACXYSJ_22455,60.70,93.64,0.00e+00,610.0,no,no,no
RPE_RS03445,ACXYSJ_22460,ACXYSJ_22460,1,ACXYSJ_22460,71.59,98.88,2.27e-42,130.0,yes,yes,no
RPE_RS03455,,,0,ACXYSJ_18385,27.27,89.70,7.12e-10,54.7,no,no,no
RPE_RS03465,ACXYSJ_22465,ACXYSJ_22465,1,ACXYSJ_22465,82.30,99.71,9.57e-179,496.0,yes,yes,no
RPE_RS03470,,,0,ACXYSJ_22470,61.94,95.20,0.00e+00,637.0,no,no,no
RPE_RS03475,ACXYSJ_22475,ACXYSJ_22475,1,ACXYSJ_22475,83.39,99.69,0.00e+00,551.0,yes,yes,no
RPE_RS03480,ACXYSJ_02465,ACXYSJ_02465,1,ACXYSJ_02465,88.86,100.22,0.00e+00,773.0,yes,yes,no
RPE_RS03485,,,0,ACXYSJ_03050,64.17,96.73,0.00e+00,565.0,no,no,no
RPE_RS03490,,,0,,,,,,no,no,no
RPE_RS03500,ACXYSJ_03055,ACXYSJ_03055,1,ACXYSJ_03055,78.10,96.58,0.00e+00,727.0,yes,yes,no
RPE_RS03505,ACXYSJ_03060,ACXYSJ_03060,1,ACXYSJ_03060,65.55,99.52,8.57e-73,217.0,yes,yes,no
RPE_RS03510,ACXYSJ_03065,ACXYSJ_03065,1,ACXYSJ_03065,79.42,97.20,7.73e-137,382.0,yes,yes,no
RPE_RS03515,ACXYSJ_03070,ACXYSJ_03070,1,ACXYSJ_03070,81.12,99.31,6.87e-80,229.0,yes,yes,no
RPE_RS03520,ACXYSJ_03075,ACXYSJ_03075,1,ACXYSJ_03075,80.10,99.49,5.67e-96,274.0,yes,yes,no
RPE_RS03525,ACXYSJ_03080,ACXYSJ_03080,1,ACXYSJ_03080,83.40,99.62,4.86e-163,449.0,yes,yes,no
RPE_RS03530,ACXYSJ_03085,ACXYSJ_03085,1,ACXYSJ_03085,77.63,99.66,1.35e-172,476.0,yes,yes,no
RPE_RS03535,ACXYSJ_03090,ACXYSJ_03090,1,ACXYSJ_03090,97.48,99.17,9.65e-83,234.0,yes,yes,no
RPE_RS03545,,,0,ACXYSJ_05115,64.89,99.62,1.33e-110,317.0,no,no,no
RPE_RS03550,ACXYSJ_03115,ACXYSJ_03115,1,ACXYSJ_03115,93.97,99.50,9.57e-138,380.0,yes,yes,no
RPE_RS03555,ACXYSJ_03120,ACXYSJ_03120,1,ACXYSJ_03120,88.36,99.57,3.13e-154,425.0,yes,yes,no
RPE_RS03560,ACXYSJ_03125,ACXYSJ_03125,1,ACXYSJ_03125,81.33,97.40,0.00e+00,501.0,yes,yes,no
RPE_RS03565,ACXYSJ_03130,ACXYSJ_03130,1,ACXYSJ_03130,72.02,94.37,1.08e-136,384.0,yes,yes,no
RPE_RS03570,ACXYSJ_03135,ACXYSJ_03135,1,ACXYSJ_03135,82.35,98.08,6.88e-126,352.0,yes,yes,no
RPE_RS03575,,,0,ACXYSJ_22775,61.79,106.02,0.00e+00,1137.0,no,no,no
RPE_RS03580,ACXYSJ_22780,ACXYSJ_22780,1,ACXYSJ_22780,87.87,98.71,0.00e+00,507.0,yes,yes,no
RPE_RS03585,ACXYSJ_22785,ACXYSJ_22785,1,ACXYSJ_22785,69.65,97.35,7.43e-132,370.0,yes,yes,no
RPE_RS03590,ACXYSJ_22855,ACXYSJ_22855,1,ACXYSJ_22855,66.80,99.61,1.83e-128,361.0,yes,yes,no
RPE_RS03595,ACXYSJ_22850,ACXYSJ_22850,1,ACXYSJ_22850,89.42,99.52,6.23e-126,351.0,yes,yes,no
RPE_RS03605,ACXYSJ_22840,ACXYSJ_22840,1,ACXYSJ_22840,89.01,99.73,0.00e+00,643.0,yes,yes,no
RPE_RS03610,ACXYSJ_22835,ACXYSJ_22835,1,ACXYSJ_22835,81.56,99.59,3.36e-152,421.0,yes,yes,no
RPE_RS03615,ACXYSJ_22825,ACXYSJ_22825,1,ACXYSJ_22825,72.01,98.82,0.00e+00,539.0,yes,yes,no
RPE_RS03620,ACXYSJ_22820,ACXYSJ_22820,1,ACXYSJ_22820,81.63,98.00,1.08e-51,155.0,yes,yes,no
RPE_RS03625,ACXYSJ_22815,ACXYSJ_22815,1,ACXYSJ_22815,79.51,104.59,0.00e+00,958.0,yes,yes,no
RPE_RS03630,ACXYSJ_22810,ACXYSJ_22810,1,ACXYSJ_22810,84.30,99.14,0.00e+00,597.0,yes,yes,no
RPE_RS03635,,,0,ACXYSJ_17680,33.64,35.60,3.08e-08,50.4,no,no,no
RPE_RS03640,ACXYSJ_22805,ACXYSJ_22805,1,ACXYSJ_22805,69.58,102.24,0.00e+00,583.0,yes,yes,no
RPE_RS03650,ACXYSJ_22800,ACXYSJ_22800,1,ACXYSJ_22800,88.67,99.75,0.00e+00,752.0,yes,yes,no
RPE_RS03655,ACXYSJ_22795,ACXYSJ_22795,1,ACXYSJ_22795,81.16,91.29,0.00e+00,1294.0,yes,yes,no
RPE_RS03660,ACXYSJ_22790,ACXYSJ_22790,1,ACXYSJ_22790,79.64,95.26,3.37e-129,362.0,yes,yes,no
RPE_RS03665,,,0,ACXYSJ_04190,35.27,89.58,5.88e-43,146.0,no,no,no
RPE_RS03670,,,0,ACXYSJ_04195,32.17,92.56,2.70e-17,77.8,no,no,no
RPE_RS03675,,,0,,,,,,no,no,no
RPE_RS03680,,,0,ACXYSJ_21775,59.74,86.52,1.22e-29,98.2,no,no,no
RPE_RS03685,ACXYSJ_21780,ACXYSJ_21780,1,ACXYSJ_21780,91.39,99.82,0.00e+00,1045.0,yes,yes,no
RPE_RS03695,,,0,ACXYSJ_21790,58.55,93.97,0.00e+00,637.0,no,no,no
RPE_RS03700,ACXYSJ_21795,ACXYSJ_21795,1,ACXYSJ_21795,76.41,98.48,3.30e-104,295.0,yes,yes,no
RPE_RS03705,ACXYSJ_21800,ACXYSJ_21800,1,ACXYSJ_21800,83.58,87.58,1.20e-85,244.0,yes,yes,no
RPE_RS03710,ACXYSJ_21815,ACXYSJ_21815,1,ACXYSJ_21815,79.41,81.60,1.06e-53,162.0,yes,yes,no
RPE_RS03715,ACXYSJ_05340,ACXYSJ_05340,1,ACXYSJ_05340,85.71,99.73,0.00e+00,648.0,yes,yes,no
RPE_RS03720,,,0,,,,,,no,no,no
RPE_RS03725,ACXYSJ_21830,ACXYSJ_21830,1,ACXYSJ_21830,78.67,99.67,1.33e-174,482.0,yes,yes,no
RPE_RS03730,ACXYSJ_21835,ACXYSJ_21835,1,ACXYSJ_21835,86.94,96.77,0.00e+00,643.0,yes,yes,no
RPE_RS03735,ACXYSJ_21840,ACXYSJ_21840,1,ACXYSJ_21840,89.77,99.71,0.00e+00,665.0,yes,yes,no
RPE_RS03740,ACXYSJ_21845,ACXYSJ_21845,1,ACXYSJ_21845,83.98,99.57,7.78e-134,373.0,yes,yes,no
RPE_RS03745,,,0,,,,,,no,no,no
RPE_RS03750,ACXYSJ_21855,ACXYSJ_21855,1,ACXYSJ_21855,86.47,99.34,0.00e+00,550.0,yes,yes,no
RPE_RS03755,ACXYSJ_21860,ACXYSJ_21860,1,ACXYSJ_21860,87.50,98.46,7.02e-86,243.0,yes,yes,no
RPE_RS03760,ACXYSJ_21865,ACXYSJ_21865,1,ACXYSJ_21865,84.16,99.65,0.00e+00,513.0,yes,yes,no
RPE_RS03765,ACXYSJ_21870,ACXYSJ_21870,1,ACXYSJ_21870,89.24,99.06,0.00e+00,588.0,yes,yes,no
RPE_RS03770,,,0,,,,,,no,no,no
RPE_RS03775,ACXYSJ_21880,ACXYSJ_21880,1,ACXYSJ_21880,75.00,95.52,2.80e-66,194.0,yes,yes,no
RPE_RS03780,ACXYSJ_21885,ACXYSJ_21885,1,ACXYSJ_21885,82.90,99.48,4.16e-117,328.0,yes,yes,no
RPE_RS03785,,,0,ACXYSJ_21890,41.98,74.31,1.84e-22,88.2,no,no,no
RPE_RS03790,ACXYSJ_21895,ACXYSJ_21895,1,ACXYSJ_21895,90.06,99.69,0.00e+00,608.0,yes,yes,no
RPE_RS03795,ACXYSJ_21900,ACXYSJ_21900,1,ACXYSJ_21900,68.48,99.61,1.61e-132,372.0,yes,yes,no
RPE_RS03800,ACXYSJ_21905,ACXYSJ_21905,1,ACXYSJ_21905,69.33,90.36,2.16e-36,115.0,yes,yes,no
RPE_RS03805,,,0,ACXYSJ_21910,48.21,105.46,5.23e-57,179.0,no,no,no
RPE_RS03810,,,0,ACXYSJ_21940,50.59,83.06,3.15e-63,200.0,no,no,no
RPE_RS03815,ACXYSJ_21950,ACXYSJ_21950,1,ACXYSJ_21950,76.10,98.38,0.00e+00,548.0,yes,yes,no
RPE_RS03820,ACXYSJ_21955,ACXYSJ_21955,1,ACXYSJ_21955,86.84,99.56,1.55e-141,392.0,yes,yes,no
RPE_RS03825,ACXYSJ_21960,ACXYSJ_21960,1,ACXYSJ_21960,85.60,96.90,2.66e-150,417.0,yes,yes,no
RPE_RS03830,ACXYSJ_21965,ACXYSJ_21965,1,ACXYSJ_21965,81.75,99.62,9.69e-155,429.0,yes,yes,no
RPE_RS03835,ACXYSJ_21985,ACXYSJ_21985,1,ACXYSJ_21985,85.87,100.12,0.00e+00,2974.0,yes,yes,no
RPE_RS03840,ACXYSJ_21990,ACXYSJ_21990,1,ACXYSJ_21990,91.22,99.89,0.00e+00,1799.0,yes,yes,no
RPE_RS03845,,,0,,,,,,no,no,no
RPE_RS03850,,,0,ACXYSJ_01035,47.90,95.37,5.50e-94,279.0,no,no,no
RPE_RS03855,ACXYSJ_17065,ACXYSJ_17065,1,ACXYSJ_17065,89.21,99.78,0.00e+00,821.0,yes,yes,no
RPE_RS03860,,,0,ACXYSJ_16510,52.94,60.58,0.00e+00,565.0,no,no,no
RPE_RS03890,,,0,ACXYSJ_17475,30.47,42.11,8.89e-06,43.9,no,no,no
RPE_RS03895,,,0,ACXYSJ_17480,33.73,56.27,2.45e-37,144.0,no,no,no
RPE_RS03900,,,0,,,,,,no,no,no
RPE_RS03905,,,0,,,,,,no,no,no
RPE_RS03910,,,0,ACXYSJ_17485,31.30,58.29,9.11e-17,79.3,no,no,no
RPE_RS03915,,,0,ACXYSJ_05365,36.87,80.63,2.93e-21,85.9,no,no,no
RPE_RS03920,,,0,,,,,,no,no,no
RPE_RS03925,,,0,,,,,,no,no,no
RPE_RS03930,,,0,,,,,,no,no,no
RPE_RS03935,,,0,,,,,,no,no,no
RPE_RS03940,,,0,ACXYSJ_02980,29.38,85.09,3.10e-18,77.0,no,no,no
RPE_RS03945,,,0,,,,,,no,no,no
RPE_RS03955,ACXYSJ_01215,ACXYSJ_01215,1,ACXYSJ_01215,65.00,77.35,1.35e-57,176.0,yes,yes,no
RPE_RS03960,,,0,ACXYSJ_01190,60.65,89.60,1.48e-54,167.0,no,no,no
RPE_RS03965,ACXYSJ_01185,ACXYSJ_01185,1,ACXYSJ_01185,65.35,99.22,1.28e-45,141.0,yes,yes,no
RPE_RS03970,ACXYSJ_01180,ACXYSJ_01180,1,ACXYSJ_01180,79.17,99.59,5.00e-127,357.0,yes,yes,no
RPE_RS03975,,,0,ACXYSJ_04185,62.36,79.11,9.43e-81,237.0,no,no,no
RPE_RS03980,,,0,,,,,,no,no,no
RPE_RS03985,,,0,ACXYSJ_01175,50.66,92.68,1.72e-34,115.0,no,no,no
RPE_RS03990,,,0,ACXYSJ_01155,60.74,98.03,2.13e-153,433.0,no,no,no
RPE_RS03995,ACXYSJ_01150,ACXYSJ_01150,1,ACXYSJ_01150,79.36,99.54,5.31e-123,345.0,yes,yes,no
RPE_RS04000,ACXYSJ_01145,ACXYSJ_01145,1,ACXYSJ_01145,76.41,99.49,3.79e-110,310.0,yes,yes,no
RPE_RS04005,,,0,ACXYSJ_08705,49.47,93.53,1.52e-64,196.0,no,no,no
RPE_RS04010,,,0,ACXYSJ_13735,38.03,16.63,2.09e-07,49.7,no,no,no
RPE_RS04015,,,0,,,,,,no,no,no
RPE_RS04020,ACXYSJ_01140,ACXYSJ_01140,1,ACXYSJ_01140,92.43,99.46,5.50e-132,364.0,yes,yes,no
RPE_RS04025,ACXYSJ_01130,ACXYSJ_01130,1,ACXYSJ_01130,72.41,98.37,0.00e+00,709.0,yes,yes,no
RPE_RS04030,ACXYSJ_01125,ACXYSJ_01125,1,ACXYSJ_01125,83.73,99.29,0.00e+00,734.0,yes,yes,no
RPE_RS04035,,,0,ACXYSJ_05095,58.91,100.30,1.05e-138,394.0,no,no,no
RPE_RS04040,ACXYSJ_01250,ACXYSJ_01250,1,ACXYSJ_01250,89.98,99.81,0.00e+00,986.0,yes,yes,no
RPE_RS04045,ACXYSJ_23485,ACXYSJ_23485,1,ACXYSJ_23485,75.95,97.23,6.21e-169,469.0,yes,yes,no
RPE_RS04050,,,0,ACXYSJ_21185,25.94,61.60,1.00e-13,69.3,no,no,no
RPE_RS04055,,,0,ACXYSJ_21180,24.59,89.76,1.41e-16,80.9,no,no,no
RPE_RS04060,,,0,ACXYSJ_21185,33.82,53.77,2.95e-19,85.9,no,no,no
RPE_RS04065,,,0,ACXYSJ_22380,32.37,91.50,3.21e-45,155.0,no,no,no
RPE_RS04070,,,0,ACXYSJ_21185,26.72,98.18,7.29e-11,60.5,no,no,no
RPE_RS04075,,,0,,,,,,no,no,no
RPE_RS04080,,,0,,,,,,no,no,no
RPE_RS04085,,,0,ACXYSJ_13110,28.80,47.99,1.54e-11,62.4,no,no,no
RPE_RS04090,,,0,,,,,,no,no,no
RPE_RS04095,,,0,,,,,,no,no,no
RPE_RS04105,ACXYSJ_00970,ACXYSJ_00970,1,ACXYSJ_00970,73.91,92.00,2.14e-33,108.0,yes,yes,no
RPE_RS04110,ACXYSJ_00965,ACXYSJ_00965,1,ACXYSJ_00965,83.74,84.90,0.00e+00,530.0,yes,yes,no
RPE_RS04115,ACXYSJ_00960,ACXYSJ_00960,1,ACXYSJ_00960,96.66,99.67,0.00e+00,597.0,yes,yes,no
RPE_RS04120,ACXYSJ_00935,ACXYSJ_00935,1,ACXYSJ_00935,88.45,99.81,0.00e+00,991.0,yes,yes,no
RPE_RS04125,,,0,ACXYSJ_00930,63.93,99.19,3.55e-107,306.0,no,no,no
RPE_RS04130,ACXYSJ_00925,ACXYSJ_00925,1,ACXYSJ_00925,99.14,99.57,1.28e-170,466.0,yes,yes,no
RPE_RS04135,ACXYSJ_00920,ACXYSJ_00920,1,ACXYSJ_00920,88.26,93.05,0.00e+00,922.0,yes,yes,no
RPE_RS04140,ACXYSJ_00915,ACXYSJ_00915,1,ACXYSJ_00915,65.77,94.90,3.92e-58,175.0,yes,yes,no
RPE_RS04145,ACXYSJ_00910,ACXYSJ_00910,1,ACXYSJ_00910,100.00,99.25,7.61e-95,266.0,yes,yes,no
RPE_RS04150,ACXYSJ_00905,ACXYSJ_00905,1,ACXYSJ_00905,82.95,78.57,1.37e-51,155.0,yes,yes,no
RPE_RS04155,ACXYSJ_00900,ACXYSJ_00900,1,ACXYSJ_00900,66.67,97.85,0.00e+00,630.0,yes,yes,no
RPE_RS04160,ACXYSJ_00895,ACXYSJ_00895,1,ACXYSJ_00895,96.85,99.83,0.00e+00,1198.0,yes,yes,no
RPE_RS04165,ACXYSJ_00885,ACXYSJ_00885,1,ACXYSJ_00885,84.38,98.46,2.02e-34,108.0,yes,yes,no
RPE_RS04170,,,0,ACXYSJ_03305,35.09,72.15,1.38e-06,39.7,no,no,no
RPE_RS04175,,,0,ACXYSJ_08485,29.91,78.60,3.81e-15,70.5,no,no,no
RPE_RS04180,,,0,,,,,,no,no,no
RPE_RS04185,,,0,,,,,,no,no,no
RPE_RS04190,,,0,ACXYSJ_06805,40.23,92.55,4.26e-09,46.6,no,no,no
RPE_RS04195,,,0,ACXYSJ_08765,34.98,102.54,1.04e-28,107.0,no,no,no
RPE_RS04200,ACXYSJ_08830,ACXYSJ_08830,1,ACXYSJ_08830,85.20,100.14,0.00e+00,1162.0,yes,yes,no
RPE_RS04205,ACXYSJ_13830,ACXYSJ_13830,1,ACXYSJ_13830,72.85,98.64,3.10e-153,427.0,yes,yes,no
RPE_RS04210,ACXYSJ_13835,ACXYSJ_13835,1,ACXYSJ_13835,77.47,91.01,1.48e-148,413.0,yes,yes,no
RPE_RS04215,,,0,ACXYSJ_11060,32.85,56.61,1.13e-09,55.1,no,no,no
RPE_RS04220,,,0,,,,,,no,no,no
RPE_RS04225,,,0,,,,,,no,no,no
RPE_RS04230,,,0,,,,,,no,no,no
RPE_RS04235,,,0,ACXYSJ_15180,35.93,94.08,1.25e-57,184.0,no,no,no
RPE_RS04240,ACXYSJ_15635,ACXYSJ_15635,1,ACXYSJ_15635,83.73,95.25,0.00e+00,667.0,yes,yes,no
RPE_RS04245,ACXYSJ_15640,ACXYSJ_15640,1,ACXYSJ_15640,85.42,87.27,2.22e-57,169.0,yes,yes,no
RPE_RS04250,ACXYSJ_15645,ACXYSJ_15645,1,ACXYSJ_15645,86.75,94.32,2.80e-167,460.0,yes,yes,no
RPE_RS04255,ACXYSJ_15650,ACXYSJ_15650,1,ACXYSJ_15650,71.56,99.70,9.17e-170,471.0,yes,yes,no
RPE_RS04260,ACXYSJ_15655,ACXYSJ_15655,1,ACXYSJ_15655,80.77,96.30,8.51e-11,46.6,yes,yes,no
RPE_RS04265,,,0,ACXYSJ_01005,37.24,99.05,4.35e-106,325.0,no,no,no
RPE_RS04270,ACXYSJ_14865,ACXYSJ_14865,1,ACXYSJ_14865,91.21,95.32,0.00e+00,735.0,yes,yes,no
RPE_RS04275,,,0,ACXYSJ_03895,33.00,36.10,4.13e-11,57.4,no,no,no
RPE_RS04280,,,0,ACXYSJ_21695,27.72,67.11,5.00e-18,80.1,no,no,no
RPE_RS04285,,,0,ACXYSJ_09700,35.90,97.01,7.99e-92,295.0,no,no,no
RPE_RS04290,,,0,,,,,,no,no,no
RPE_RS04295,,,0,,,,,,no,no,no
RPE_RS04300,,,0,,,,,,no,no,no
RPE_RS04305,,,0,,,,,,no,no,no
RPE_RS04310,,,0,,,,,,no,no,no
