Ref_Gene,Candidate_Target_Gene,Candidate_Target_Symbol,Candidate_Target_Product,Identity(%),E_value,Coverage,BBH,BiGG_True_Rxns,BiGG_True_Rxns_Details,Reason,Action
RPE_RS11345,ACXYSJ_15060,,IlvD/Edd family dehydratase,88.38,0.0,0.9982425307557118,<=>,PERD,PERD [Erythronate 4-phosphate (4per) dehydrogenase] :: 4per_c_u (4-Phospho-D-erythronate) + nad_c_u (Nicotinamide adenine dinucleotide) --> h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) + ohpb_c_u (2-Oxo-3-hydroxy-4-phosphobutanoate),target_gene_has_no_reactions,
RPE_RS21060,ACXYSJ_17895,,ABC transporter substrate-binding protein,88.295,0.0,1.0,<=>,ALAabc | ILEabc | THRabc | VALabc,ALAabc [L-alanine transport via ABC system] :: ala__L_e_u (L-Alanine) + atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + ala__L_c_u (L-Alanine) + h_c_u (H+) + pi_c_u (Phosphate) || ILEabc [L-isoleucine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + ile__L_e_u (L-Isoleucine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + ile__L_c_u (L-Isoleucine) + pi_c_u (Phosphate) || THRabc [L-threonine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + thr__L_e_u (L-Threonine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + thr__L_c_u (L-Threonine) || VALabc [L-valine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + val__L_e_u (L-Valine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + val__L_c_u (L-Valine),target_gene_has_no_reactions,
RPE_RS18105,ACXYSJ_08900,,SDR family NAD(P)-dependent oxidoreductase,88.281,1.67e-169,1.0,<=>,CHOLID,"CHOLID [7-?-hydroxysteroid dehydrogenase] :: cholate_c_u (Cholate c) + nad_c_u (Nicotinamide adenine dinucleotide) --> dhcholn_c_u (3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate) + h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced)",target_gene_has_no_reactions,
RPE_RS04945,ACXYSJ_05145,,thiamine pyrophosphate-dependent enzyme,88.213,4.41e-164,0.9392857142857144,<=>,PFOR,PFOR [Pyruvate flavodoxin oxidoreductase] :: coa_c_u (Coenzyme A) + fldox_c_u (Flavodoxin (oxidized) - obsolete) + h_c_u (H+) + pyr_c_u (Pyruvate) --> accoa_c_u (Acetyl-CoA) + co2_c_u (CO2 CO2) + fldrd_c_u (Flavodoxin (reduced) - obsolete),target_gene_has_no_reactions,
RPE_RS08975,ACXYSJ_16460,,crotonase/enoyl-CoA hydratase family protein,87.823,1.5399999999999999e-176,1.0,<=>,CRNCAR | CRNCDH | ECOAH1 | ECOAH12 | ECOAH2 | ECOAH3 | ECOAH4 | ECOAH5 | ECOAH6 | ECOAH7 | ECOAH8 | OXDHCOAT,"CRNCAR [Carnitine-CoA racemase] :: crncoa_c_u (L-Carnitinyl-CoA) <=> crnDcoa_c_u (D-carnitinyl-CoA) || CRNCDH [Carnityl-CoA dehydratse] :: crncoa_c_u (L-Carnitinyl-CoA) <=> ctbtcoa_c_u (Crotonobetainyl-CoA) + h2o_c_u (H2O H2O) || ECOAH1 [3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)] :: 3hbcoa_c_u ((S)-3-Hydroxybutanoyl-CoA) <=> b2coa_c_u (Crotonoyl-CoA) + h2o_c_u (H2O H2O) || ECOAH12 [ECOAH12] :: 2mp2coa_c_u (2-Methylprop-2-enoyl-CoA) + h2o_c_u (H2O H2O) --> 3hibutcoa_c_u ((S)-3-Hydroxyisobutyryl-CoA) || ECOAH2 [3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)] :: 3hhcoa_c_u ((S)-3-Hydroxyhexanoyl-CoA) <=> h2o_c_u (H2O H2O) + hx2coa_c_u (Trans-Hex-2-enoyl-CoA) || ECOAH3 [3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)] :: 3hocoa_c_u ((S)-3-Hydroxyoctanoyl-CoA) <=> h2o_c_u (H2O H2O) + oc2coa_c_u (Trans-Oct-2-enoyl-CoA) || ECOAH4 [3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)] :: 3hdcoa_c_u ((S)-3-Hydroxydecanoyl-CoA) <=> dc2coa_c_u (Trans-Dec-2-enoyl-CoA) + h2o_c_u (H2O H2O) || ECOAH5 [3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)] :: 3hddcoa_c_u ((S)-3-Hydroxydodecanoyl-CoA) <=> dd2coa_c_u (Trans-Dodec-2-enoyl-CoA) + h2o_c_u (H2O H2O) || ECOAH6 [3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)] :: 3htdcoa_c_u ((S)-3-Hydroxytetradecanoyl-CoA) <=> h2o_c_u (H2O H2O) + td2coa_c_u (Trans-Tetradec-2-enoyl-CoA) || ECOAH7 [3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)] :: 3hhdcoa_c_u ((S)-3-Hydroxyhexadecanoyl-CoA) <=> h2o_c_u (H2O H2O) + hdd2coa_c_u (Trans-Hexadec-2-enoyl-CoA) || ECOAH8 [3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)] :: 3hodcoa_c_u ((S)-3-Hydroxyoctadecanoyl-CoA) <=> h2o_c_u (H2O H2O) + od2coa_c_u (Trans-Octadec-2-enoyl-CoA) || OXDHCOAT [3-oxo-5,6-dehydrosuberyl-CoA thiolase] :: 3oxdhscoa_c_u (3-oxo-5,6-dehydrosuberyl-CoA) + coa_c_u (Coenzyme A) --> 23dhacoa_c_u (2,3-dehydroadipyl-CoA) + accoa_c_u (Acetyl-CoA)",target_gene_has_no_reactions,
RPE_RS11570,ACXYSJ_08440,,crotonase/enoyl-CoA hydratase family protein,87.542,0.0,1.0,<=>,CRNCAR | CRNCDH | OXDHCOAT,"CRNCAR [Carnitine-CoA racemase] :: crncoa_c_u (L-Carnitinyl-CoA) <=> crnDcoa_c_u (D-carnitinyl-CoA) || CRNCDH [Carnityl-CoA dehydratse] :: crncoa_c_u (L-Carnitinyl-CoA) <=> ctbtcoa_c_u (Crotonobetainyl-CoA) + h2o_c_u (H2O H2O) || OXDHCOAT [3-oxo-5,6-dehydrosuberyl-CoA thiolase] :: 3oxdhscoa_c_u (3-oxo-5,6-dehydrosuberyl-CoA) + coa_c_u (Coenzyme A) --> 23dhacoa_c_u (2,3-dehydroadipyl-CoA) + accoa_c_u (Acetyl-CoA)",target_gene_has_no_reactions,
RPE_RS08895,ACXYSJ_20950,cysT,sulfate ABC transporter permease subunit CysT,87.455,3.29e-172,1.0,<=>,SO3abcpp,SO3abcpp [Sulfite transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + so3_p_u (Sulfite) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + so3_c_u (Sulfite),target_gene_has_no_reactions,
RPE_RS08570,ACXYSJ_16500,,enoyl-CoA hydratase/isomerase,87.266,2.79e-175,1.0037593984962403,<=>,OXDHCOAT,"OXDHCOAT [3-oxo-5,6-dehydrosuberyl-CoA thiolase] :: 3oxdhscoa_c_u (3-oxo-5,6-dehydrosuberyl-CoA) + coa_c_u (Coenzyme A) --> 23dhacoa_c_u (2,3-dehydroadipyl-CoA) + accoa_c_u (Acetyl-CoA)",target_gene_has_no_reactions,
RPE_RS09950,ACXYSJ_15555,,TRAP transporter large permease,87.255,0.0,0.99836867862969,<=>,FUMt2_2pp | FUMtex | GLUt2rpp | SUCTARTtpp,"FUMt2_2pp [Fumarate transport via proton symport (2 H) (periplasm)] :: fum_p_u (Fumarate) + 2 h_p_u (H+) --> fum_c_u (Fumarate) + 2 h_c_u (H+) || FUMtex [Fumarate transport via diffusion (extracellular to periplasm)] :: fum_e_u (Fumarate) <=> fum_p_u (Fumarate) || GLUt2rpp [L-glutamate transport via proton symport, reversible (periplasm)] :: glu__L_p_u (L-Glutamate) + h_p_u (H+) --> glu__L_c_u (L-Glutamate) + h_c_u (H+) || SUCTARTtpp [Succinate:D-tartrate antiporter (periplasm)] :: succ_c_u (Succinate) + tartr__D_p_u (D-tartrate) <=> succ_p_u (Succinate) + tartr__D_c_u (D-tartrate)",target_gene_has_no_reactions,
RPE_RS16815,ACXYSJ_10215,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,87.071,0.0,1.0,<=>,GLNTRAT,GLNTRAT [Glutamyl-tRNA(Gln) amidotransferase] :: atp_c_u (ATP C10H12N5O13P3) + gln__L_c_u (L-Glutamine) + glutrna_gln_c_u (L-Glutamyl-tRNA(Gln)) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + glntrna_c_u (L-Glutaminyl-tRNA(Gln)) + glu__L_c_u (L-Glutamate) + h_c_u (H+) + pi_c_u (Phosphate),target_gene_has_no_reactions,
RPE_RS04800,ACXYSJ_05790,,respiratory chain complex I subunit 1 family protein,87.066,9.94e-180,0.990625,<=>,FHL,FHL [Formate-hydrogen lyase] :: for_c_u (Formate) + h_c_u (H+) --> co2_c_u (CO2 CO2) + h2_c_u (Hydrogen),target_gene_has_no_reactions,
RPE_RS06705,ACXYSJ_06305,pufB,"light-harvesting antenna LH1, beta subunit",86.765,3.16e-40,1.0,<=>,PSICSum | PSIICSum | PSIIum | PSIum,"PSICSum [Photosystem I charge separation] :: chla_qy1_exc_c_u (Photosystem I excited chlorophyll A, Qy band (long wavelength)) + p700_um_p_u (PSI reaction center P700) --> cholphya_c_u (Chlorophyll a) + p700_exc_um_p_u (PSI reaction center P700, excited) || PSIICSum [Photosystem II charge separation] :: chla_qy2_exc_c_u (Photosystem II excited chlorophyll A, Qy band (long wavelength)) + p680_um_p_u (PSII reaction center P680) --> cholphya_c_u (Chlorophyll a) + p680_exc_um_p_u (PSII reaction center P680, excited) || PSIIum [Photosystem II] :: 2 h2o_u_u (H2O H2O) + 3.9996 h_c_u (H+) + 4 p680_exc_um_p_u (PSII reaction center P680, excited) + 1.9998 pq_um_p_u (Plastoquinone) + 0.0004 ps2d1_um_p_u (PSII D1 protein) --> 4 h_u_u (H+) + o2_u_u (O2 O2) + 4 p680_um_p_u (PSII reaction center P680) + 1.9998 pqh2_um_p_u (Plastoquinol) + 0.0004 ps2d1_exc_um_p_u (Damaged PSII D1 protein) || PSIum [Photosystem I] :: 0.99 fdxox_c_u (Oxidized ferredoxin) + 0.01 o2_c_u (O2 O2) + p700_exc_um_p_u (PSI reaction center P700, excited) + pcrd_u_u (Plastocyanin(Cu+)) --> 0.99 fdxrd_c_u (Reduced ferredoxin) + 0.01 o2s_c_u (Superoxide anion) + p700_um_p_u (PSI reaction center P700) + pcox_u_u (Plastocyanin(Cu2+))",target_gene_has_no_reactions,
RPE_RS21990,ACXYSJ_20565,nadA,quinolinate synthase NadA,86.523,0.0,1.0,<=>,SUCDu_syn,SUCDu_syn [Succinate dehydrogenase (tilacoild)] :: pq_u_u (Plastoquinone) + succ_c_u (Succinate) --> fum_c_u (Fumarate) + pqh2_u_u (Plastoquinol),target_gene_has_no_reactions,
RPE_RS06990,ACXYSJ_04900,,ABC transporter ATP-binding protein,86.307,6.35e-153,1.0,<=>,AI2abcpp,"AI2abcpp [Autoinducer-2 ABC transporter] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + mththf_p_u ((2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + mththf_c_u ((2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran) + pi_c_u (Phosphate)",target_gene_has_no_reactions,
RPE_RS06720,ACXYSJ_06320,pufM,photosynthetic reaction center subunit M,85.902,0.0,0.993485342019544,<=>,PSICSum | PSIICSum | PSIIum | PSIum,"PSICSum [Photosystem I charge separation] :: chla_qy1_exc_c_u (Photosystem I excited chlorophyll A, Qy band (long wavelength)) + p700_um_p_u (PSI reaction center P700) --> cholphya_c_u (Chlorophyll a) + p700_exc_um_p_u (PSI reaction center P700, excited) || PSIICSum [Photosystem II charge separation] :: chla_qy2_exc_c_u (Photosystem II excited chlorophyll A, Qy band (long wavelength)) + p680_um_p_u (PSII reaction center P680) --> cholphya_c_u (Chlorophyll a) + p680_exc_um_p_u (PSII reaction center P680, excited) || PSIIum [Photosystem II] :: 2 h2o_u_u (H2O H2O) + 3.9996 h_c_u (H+) + 4 p680_exc_um_p_u (PSII reaction center P680, excited) + 1.9998 pq_um_p_u (Plastoquinone) + 0.0004 ps2d1_um_p_u (PSII D1 protein) --> 4 h_u_u (H+) + o2_u_u (O2 O2) + 4 p680_um_p_u (PSII reaction center P680) + 1.9998 pqh2_um_p_u (Plastoquinol) + 0.0004 ps2d1_exc_um_p_u (Damaged PSII D1 protein) || PSIum [Photosystem I] :: 0.99 fdxox_c_u (Oxidized ferredoxin) + 0.01 o2_c_u (O2 O2) + p700_exc_um_p_u (PSI reaction center P700, excited) + pcrd_u_u (Plastocyanin(Cu+)) --> 0.99 fdxrd_c_u (Reduced ferredoxin) + 0.01 o2s_c_u (Superoxide anion) + p700_um_p_u (PSI reaction center P700) + pcox_u_u (Plastocyanin(Cu2+))",target_gene_has_no_reactions,
RPE_RS23760,ACXYSJ_22685,,cytochrome c oxidase subunit 3,85.765,2.69e-162,0.9825174825174824,<=>,CYOO2pp,CYOO2pp [Cytochrome-c oxidase (2 protons translocated) periplasm] :: 2 focytC_c_u (Ferrocytochrome C) + 4 h_c_u (H+) + 0.5 o2_c_u (O2 O2) --> 2 ficytC_c_u (Ferricytochrome c) + h2o_c_u (H2O H2O) + 2 h_p_u (H+),target_gene_has_no_reactions,
RPE_RS11535,ACXYSJ_14940,,competence/damage-inducible protein A,85.597,2.31e-154,0.9878048780487804,<=>,DHNCOAS | NPHS,"DHNCOAS [1,4-dihydroxy-2-napthoyl-CoA synthase] :: h_c_u (H+) + sbzcoa_c_u (O-Succinylbenzoyl-CoA) --> 14dhncoa_c_u (1,4-dihydroxy-2-napthoyl-CoA) + h2o_c_u (H2O H2O) || NPHS [Naphthoate synthase] :: sbzcoa_c_u (O-Succinylbenzoyl-CoA) --> coa_c_u (Coenzyme A) + dhna_c_u (1,4-Dihydroxy-2-naphthoate)",target_gene_has_no_reactions,
RPE_RS02375,ACXYSJ_22385,,SDR family oxidoreductase,84.644,4.79e-161,0.9925650557620818,<=>,CHOLID | FAS120 | FAS200 | FASC200ACP,"CHOLID [7-?-hydroxysteroid dehydrogenase] :: cholate_c_u (Cholate c) + nad_c_u (Nicotinamide adenine dinucleotide) --> dhcholn_c_u (3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate) + h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) || FAS120 [Fatty acid synthase  n C120] :: dca_c_u (Decanoate (n-C10:0)) + 3 h_c_u (H+) + malcoa_c_u (Malonyl CoA C24H33N7O19P3S) + 2 nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) --> co2_c_u (CO2 CO2) + coa_c_u (Coenzyme A) + ddca_c_u (Dodecanoate (n-C12:0)) + h2o_c_u (H2O H2O) + 2 nadp_c_u (Nicotinamide adenine dinucleotide phosphate) || FAS200 [FAS200] :: 3 h_c_u (H+) + malcoa_c_u (Malonyl CoA C24H33N7O19P3S) + 2 nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) + ocdca_c_u (Octadecanoate (n-C18:0)) --> arach_c_u (Arachidic acid) + co2_c_u (CO2 CO2) + coa_c_u (Coenzyme A) + h2o_c_u (H2O H2O) + 2 nadp_c_u (Nicotinamide adenine dinucleotide phosphate) || FASC200ACP [Fatty acid biosynthesis (n-C20:0)] :: 3 h_c_u (H+) + malACP_c_u (Malonyl-[acyl-carrier protein]) + 2 nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) + ocdcaACP_c_u (Octadecanoyl-ACP (n-C18:0ACP)) --> ACP_c_u (Acyl carrier protein) + arachACP_c_u (Eicosanoyl-ACP (n-C20:0)) + co2_c_u (CO2 CO2) + h2o_c_u (H2O H2O) + 2 nadp_c_u (Nicotinamide adenine dinucleotide phosphate)",target_gene_has_no_reactions,
RPE_RS04810,ACXYSJ_05800,,hydrogenase 4 subunit F,83.471,0.0,1.0,<=>,FHL | NDH_1_4_um_copy1,"FHL [Formate-hydrogen lyase] :: for_c_u (Formate) + h_c_u (H+) --> co2_c_u (CO2 CO2) + h2_c_u (Hydrogen) || NDH_1_4_um_copy1 [NAD(P)H dehydrogenase, carbon dioxide coupled (plastoquinone-8 & 4 protons)( Thylakoid)] :: co2_c_u (CO2 CO2) + 2 fdxrd_c_u (Reduced ferredoxin) + h2o_c_u (H2O H2O) + 4 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + hco3_c_u (Bicarbonate) + pqh2_um_p_u (Plastoquinol)",target_gene_has_no_reactions,
RPE_RS15635,ACXYSJ_05960,phnC,phosphonate ABC transporter ATP-binding protein,83.456,1.68e-166,1.003690036900369,<=>,DHBSZ3FEabcpp | MEPNabcpp,DHBSZ3FEabcpp [23dhbsz3 Fe III transport via ABC system periplasm] :: atp_c_u (ATP C10H12N5O13P3) + fe3dhbzs3_p_u (2-3-dihydroxybenzoylserine trimer-Fe-III) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + fe3dhbzs3_c_u (2-3-dihydroxybenzoylserine trimer-Fe-III) + h_c_u (H+) + pi_c_u (Phosphate) || MEPNabcpp [Methylpshophonic acid abc transporter] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + mepn_p_u (Methylphosphonic acid) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + mepn_c_u (Methylphosphonic acid) + pi_c_u (Phosphate),target_gene_has_no_reactions,
RPE_RS12655,ACXYSJ_11135,,NADH-quinone oxidoreductase subunit C,83.417,5.420000000000001e-122,0.9851485148514852,<=>,NDH_1_4_um_copy1,"NDH_1_4_um_copy1 [NAD(P)H dehydrogenase, carbon dioxide coupled (plastoquinone-8 & 4 protons)( Thylakoid)] :: co2_c_u (CO2 CO2) + 2 fdxrd_c_u (Reduced ferredoxin) + h2o_c_u (H2O H2O) + 4 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + hco3_c_u (Bicarbonate) + pqh2_um_p_u (Plastoquinol)",target_gene_has_no_reactions,
RPE_RS14885,ACXYSJ_13555,,SUF system Fe-S cluster assembly protein,82.927,7.630000000000001e-72,1.0,<=>,S2FE2SR | S2FE2SS | S2FE2SS2 | S2FE2ST | S4FE4SR | S4FE4ST,S2FE2SR [SUF [2Fe-2S] regeneration] :: 2fe1s_c_u ([2Fe-1S] desulfurated iron-sulfur cluster) + atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + sufbcd_c_u (SufBCD scaffold complex) + sufsesh_c_u (SufSE with bound sulfur) --> adp_c_u (ADP C10H12N5O10P2) + 5 h_c_u (H+) + pi_c_u (Phosphate) + sufbcd_2fe2s_c_u (SufBCD with bound [2Fe-2S] cluster) + sufse_c_u (SufSE sulfur acceptor complex) || S2FE2SS [SUF [2Fe-2S] Synthesis] :: atp_c_u (ATP C10H12N5O13P3) + fadh2_c_u (Flavin adenine dinucleotide reduced) + 2 fe2_c_u (Fe2+ mitochondria) + h2o_c_u (H2O H2O) + sufbcd_c_u (SufBCD scaffold complex) + 2 sufsesh_c_u (SufSE with bound sulfur) --> adp_c_u (ADP C10H12N5O10P2) + fad_c_u (Flavin adenine dinucleotide oxidized) + 7 h_c_u (H+) + pi_c_u (Phosphate) + sufbcd_2fe2s_c_u (SufBCD with bound [2Fe-2S] cluster) + 2 sufse_c_u (SufSE sulfur acceptor complex) || S2FE2SS2 [SUF [2Fe-2S] Synthesis II] :: atp_c_u (ATP C10H12N5O13P3) + fadh2_c_u (Flavin adenine dinucleotide reduced) + 2 fe2_c_u (Fe2+ mitochondria) + h2o_c_u (H2O H2O) + sufbcd_2fe2s_c_u (SufBCD with bound [2Fe-2S] cluster) + 2 sufsesh_c_u (SufSE with bound sulfur) --> adp_c_u (ADP C10H12N5O10P2) + fad_c_u (Flavin adenine dinucleotide oxidized) + 7 h_c_u (H+) + pi_c_u (Phosphate) + sufbcd_2fe2s2_c_u (SufBCD with two bound [2Fe-2S] clusters) + 2 sufse_c_u (SufSE sulfur acceptor complex) || S2FE2ST [SUF [2Fe-2S] Transfer] :: 4 h_c_u (H+) + sufbcd_2fe2s_c_u (SufBCD with bound [2Fe-2S] cluster) --> 2fe2s_c_u ([2Fe-2S] iron-sulfur cluster) + sufbcd_c_u (SufBCD scaffold complex) || S4FE4SR [SUF [4Fe-4S] Reduction] :: fadh2_c_u (Flavin adenine dinucleotide reduced) + 2 h_c_u (H+) + sufbcd_2fe2s2_c_u (SufBCD with two bound [2Fe-2S] clusters) --> fad_c_u (Flavin adenine dinucleotide oxidized) + sufbcd_4fe4s_c_u (SufBCD with bound [4Fe-4S] cluster) || S4FE4ST [SUF [4Fe-4S] Transfer] :: 4 h_c_u (H+) + sufbcd_4fe4s_c_u (SufBCD with bound [4Fe-4S] cluster) --> 4fe4s_c_u ([4Fe-4S] iron-sulfur cluster) + sufbcd_c_u (SufBCD scaffold complex),target_gene_has_no_reactions,
RPE_RS23450,ACXYSJ_04495,glcF,glycolate oxidase subunit GlcF,82.877,0.0,1.0,<=>,GLYCTO2 | GLYCTO3 | GLYCTO4,GLYCTO2 [Glycolate oxidase] :: glyclt_c_u (Glycolate C2H3O3) + q8_c_u (Ubiquinone-8) --> glx_c_u (Glyoxylate) + q8h2_c_u (Ubiquinol-8) || GLYCTO3 [Glycolate oxidase] :: glyclt_c_u (Glycolate C2H3O3) + mqn8_c_u (Menaquinone 8) --> glx_c_u (Glyoxylate) + mql8_c_u (Menaquinol 8) || GLYCTO4 [Glycolate oxidase] :: 2dmmq8_c_u (2-Demethylmenaquinone 8) + glyclt_c_u (Glycolate C2H3O3) --> 2dmmql8_c_u (2-Demethylmenaquinol 8) + glx_c_u (Glyoxylate),target_gene_has_no_reactions,
RPE_RS08605,ACXYSJ_20040,,NADH-quinone oxidoreductase subunit A,82.171,3.3e-65,0.9847328244274808,<=>,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp,NADH16pp [NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)] :: 4 h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) + q8_c_u (Ubiquinone-8) --> 3 h_p_u (H+) + nad_c_u (Nicotinamide adenine dinucleotide) + q8h2_c_u (Ubiquinol-8) || NADH17pp [NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm)] :: 4 h_c_u (H+) + mqn8_c_u (Menaquinone 8) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) --> 3 h_p_u (H+) + mql8_c_u (Menaquinol 8) + nad_c_u (Nicotinamide adenine dinucleotide) || NADH18pp [NADH dehydrogenase (demethylmenaquinone-8 & 3 protons) (periplasm)] :: 2dmmq8_c_u (2-Demethylmenaquinone 8) + 4 h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) --> 2dmmql8_c_u (2-Demethylmenaquinol 8) + 3 h_p_u (H+) + nad_c_u (Nicotinamide adenine dinucleotide) || NDH1_1p [NAD(P)H dehydrogenase (plastoquinone-8 & 3 protons) (periplasm)] :: 4 h_c_u (H+) + nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) + pq_p_u (Plastoquinone) --> 3 h_p_u (H+) + nadp_c_u (Nicotinamide adenine dinucleotide phosphate) + pqh2_p_u (Plastoquinol) || NDH1_2p [NAD(P)H dehydrogenase (plastoquinone-8 & 3 protons) (periplasm)] :: 4 h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) + pq_p_u (Plastoquinone) --> 3 h_p_u (H+) + nad_c_u (Nicotinamide adenine dinucleotide) + pqh2_p_u (Plastoquinol) || NDH1_4pp [Active co2 transporter facilitator (periplasm)] :: co2_p_u (CO2 CO2) + h2o_c_u (H2O H2O) + 3 h_c_u (H+) + nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) + pq_p_u (Plastoquinone) --> 3 h_p_u (H+) + hco3_c_u (Bicarbonate) + nadp_c_u (Nicotinamide adenine dinucleotide phosphate) + pqh2_p_u (Plastoquinol),target_gene_has_no_reactions,
RPE_RS18840,ACXYSJ_07235,,extracellular solute-binding protein,82.092,0.0,0.9968404423380728,<=>,PPNDH,PPNDH [Prephenate dehydratase] :: h_c_u (H+) + pphn_c_u (Prephenate) --> co2_c_u (CO2 CO2) + h2o_c_u (H2O H2O) + phpyr_c_u (Phenylpyruvate),target_gene_has_no_reactions,
RPE_RS06945,ACXYSJ_04850,,ABC transporter ATP-binding protein,81.944,0.0,1.0,<=>,CHLabcpp | CTBTabcpp,CHLabcpp [Choline transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + chol_p_u (Choline C5H14NO) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + chol_c_u (Choline C5H14NO) + h_c_u (H+) + pi_c_u (Phosphate) || CTBTabcpp [Crotonobetaine transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + ctbt_p_u (Crotonobetaine) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + ctbt_c_u (Crotonobetaine) + h_c_u (H+) + pi_c_u (Phosphate),target_gene_has_no_reactions,
RPE_RS12690,ACXYSJ_11165,nuoG,NADH-quinone oxidoreductase subunit NuoG,81.936,0.0,1.0,<=>,NDH_1_4_um_copy1,"NDH_1_4_um_copy1 [NAD(P)H dehydrogenase, carbon dioxide coupled (plastoquinone-8 & 4 protons)( Thylakoid)] :: co2_c_u (CO2 CO2) + 2 fdxrd_c_u (Reduced ferredoxin) + h2o_c_u (H2O H2O) + 4 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + hco3_c_u (Bicarbonate) + pqh2_um_p_u (Plastoquinol)",target_gene_has_no_reactions,
RPE_RS18835,ACXYSJ_07240,,extracellular solute-binding protein,81.29,0.0,0.9935897435897436,<=>,PPNDH,PPNDH [Prephenate dehydratase] :: h_c_u (H+) + pphn_c_u (Prephenate) --> co2_c_u (CO2 CO2) + h2o_c_u (H2O H2O) + phpyr_c_u (Phenylpyruvate),target_gene_has_no_reactions,
RPE_RS16520,ACXYSJ_10445,lptG,LPS export ABC transporter permease LptG,81.215,0.0,1.0,<=>,K2L4Aabctex,K2L4Aabctex [KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + kdo2lipid4_p_u (KDO(2)-lipid IV(A)) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + kdo2lipid4_e_u (KDO(2)-lipid IV(A)) + pi_c_u (Phosphate),target_gene_has_no_reactions,
