query_locus_tag,query_gene,query_product,subject_locus_tag,subject_gene,subject_product,pident,qcov,scov,evalue,bitscore,reciprocal_best_hit,pass_threshold,used_for_conversion
PGIDNB_05310,,beta-ketoacyl-ACP synthase III,ACXYSJ_05340,,beta-ketoacyl-ACP synthase III,100,100,100,0.00E+00,763,yes,yes,yes
PGIDNB_05315,,"Cupin 2, conserved barrel",ACXYSJ_05345,,cupin domain-containing protein,100,100,100,1.66E-76,218,yes,yes,yes
PGIDNB_05320,yajL,protease,ACXYSJ_05350,,type 1 glutamine amidotransferase domain-containing protein,100,100,100,3.89E-137,377,yes,yes,yes
PGIDNB_05325,,hypothetical protein,ACXYSJ_05355,,hypothetical protein,100,86.23,100,8.69E-81,231,yes,yes,yes
PGIDNB_05330,mltB,lytic transglycosylase,ACXYSJ_05360,,lytic murein transglycosylase,100,100,100,0.00E+00,556,yes,yes,yes
PGIDNB_05335,,flagellar biosynthesis protein FlgD,ACXYSJ_05365,,flagellar hook assembly protein FlgD,100,100,100,2.82E-175,479,yes,yes,yes
PGIDNB_05340,,Flagellar hook-length control protein,ACXYSJ_05370,,flagellar hook-length control protein FliK,100,100,100,0.00E+00,998,yes,yes,yes
PGIDNB_05345,mnmA,tRNA 2-thiouridine(34) synthase MnmA,ACXYSJ_05375,mnmA,tRNA 2-thiouridine(34) synthase MnmA,100,99,100,0.00E+00,803,yes,yes,yes
PGIDNB_05350,ubiE,SAM-dependent methyltransferase,ACXYSJ_05380,,class I SAM-dependent methyltransferase,100,100,100,2.61E-157,431,yes,yes,yes
PGIDNB_05360,,"HAD-superfamily hydrolase subfamily IA, variant 3",ACXYSJ_05395,,HAD family hydrolase,100,100,100,1.49E-168,461,yes,yes,yes
PGIDNB_05365,,hypothetical protein,ACXYSJ_05400,,hypothetical protein,100,100,100,0.00E+00,584,yes,yes,yes
PGIDNB_05370,,Aldo/keto reductase,ACXYSJ_05405,,aldo/keto reductase,100,100,100,0.00E+00,640,yes,yes,yes
PGIDNB_05375,,Lyso-ornithine lipid acyltransferase,ACXYSJ_05410,olsA,lyso-ornithine lipid O-acyltransferase,100,100,100,0.00E+00,558,yes,yes,yes
PGIDNB_05380,,DUF486 domain-containing protein,ACXYSJ_05415,,DMT family protein,100,100,100,7.43E-83,235,yes,yes,yes
PGIDNB_05385,,Glucose sorbosone dehydrogenase,ACXYSJ_05420,,PQQ-dependent sugar dehydrogenase,100,100,100,0.00E+00,786,yes,yes,yes
PGIDNB_05390,,hypothetical protein,ACXYSJ_05425,,HtrA2 peptidase,100,100,100,2.34E-36,113,yes,yes,yes
PGIDNB_05395,gstA,glutathione S-transferase,ACXYSJ_05430,,glutathione S-transferase family protein,100,95.18,100,9.47E-166,453,yes,yes,yes
PGIDNB_05400,aspB,aspartate aminotransferase,ACXYSJ_05435,,pyridoxal phosphate-dependent aminotransferase,100,100,100,0.00E+00,828,yes,yes,yes
PGIDNB_05405,,DUF992 domain-containing protein,ACXYSJ_05440,,DUF992 domain-containing protein,100,100,100,3.06E-127,352,yes,yes,yes
PGIDNB_05410,,DUF992 domain-containing protein,ACXYSJ_05445,,DUF992 domain-containing protein,100,100,100,4.30E-109,304,yes,yes,yes
PGIDNB_05415,,hypothetical protein,ACXYSJ_05450,,hypothetical protein,100,100,100,3.96E-135,372,yes,yes,yes
PGIDNB_05420,,elongation factor G,ACXYSJ_05455,,elongation factor G,100,100,100,0.00E+00,1374,yes,yes,yes
PGIDNB_05425,,transcriptional regulator,ACXYSJ_05460,,helix-turn-helix domain-containing protein,100,100,93.48,9.00E-58,169,yes,yes,yes
PGIDNB_05430,aroE,shikimate dehydrogenase,ACXYSJ_05465,,shikimate dehydrogenase,99.64,96.82,100,0.00E+00,548,yes,yes,yes
PGIDNB_05435,,Trimeric intracellular cation channel family protein,ACXYSJ_05470,,trimeric intracellular cation channel family protein,100,100,100,1.69E-146,403,yes,yes,yes
PGIDNB_05440,,Enoyl-CoA hydratase,ACXYSJ_05475,,enoyl-CoA hydratase/isomerase family protein,100,100,100,0.00E+00,558,yes,yes,yes
PGIDNB_05445,lldD,alpha-hydroxy-acid oxidizing enzyme,ACXYSJ_05480,,alpha-hydroxy acid oxidase,100,100,100,0.00E+00,775,yes,yes,yes
PGIDNB_05450,,hypothetical protein,ACXYSJ_05485,,hypothetical protein,100,100,100,3.74E-36,112,yes,yes,yes
PGIDNB_05455,glmM,phosphoglucosamine mutase,ACXYSJ_05490,glmM,phosphoglucosamine mutase,100,100,100,0.00E+00,904,yes,yes,yes
PGIDNB_05460,araJ,MFS transporter,ACXYSJ_05495,,MFS transporter,100,100,100,0.00E+00,827,yes,yes,yes
PGIDNB_05465,,cell envelope biogenesis protein OmpA,ACXYSJ_05500,,outer membrane protein,100,100,100,0.00E+00,571,yes,yes,yes
PGIDNB_05470,,Opacity protein,ACXYSJ_05505,,outer membrane protein,100,100,100,0.00E+00,521,yes,yes,yes
PGIDNB_05475,,Glutathione S-transferase-like,ACXYSJ_05510,,glutathione S-transferase family protein,100,100,100,5.00E-148,406,yes,yes,yes
PGIDNB_05480,,Ribosomal protein S18 acetylase RimI,ACXYSJ_05515,,GNAT family N-acetyltransferase,100,100,100,6.91E-113,314,yes,yes,yes
PGIDNB_05485,,Putative sensor (PAS) domain for methyl-accepting chemotaxis sensory transducer,ACXYSJ_05520,,PAS domain-containing protein,100,100,100,2.90E-133,367,yes,yes,yes
PGIDNB_05490,,Methyl-accepting chemotaxis sensory transducer,ACXYSJ_05525,,methyl-accepting chemotaxis protein,100,100,100,0.00E+00,843,yes,yes,yes
PGIDNB_05495,serC,phosphoserine transaminase,ACXYSJ_05530,,phosphoserine transaminase,100,100,100,0.00E+00,778,yes,yes,yes
PGIDNB_05500,serA,phosphoglycerate dehydrogenase,ACXYSJ_05535,serA,phosphoglycerate dehydrogenase,100,100,100,0.00E+00,1062,yes,yes,yes
PGIDNB_05505,,Methyl-accepting chemotaxis sensory transducer,ACXYSJ_05540,,methyl-accepting chemotaxis protein,99.82,99.12,100,0.00E+00,1116,yes,yes,yes
PGIDNB_05510,,Phytase-like domain-containing protein,ACXYSJ_05545,,esterase-like activity of phytase family protein,100,100,100,0.00E+00,922,yes,yes,yes
PGIDNB_05515,yhjR,rubrerythrin,ACXYSJ_05550,mbfA,iron exporter MbfA,100,100,100,0.00E+00,653,yes,yes,yes
PGIDNB_05520,,Uncharacterized protein UPF0065,ACXYSJ_05555,,Bug family tripartite tricarboxylate transporter substrate binding protein,100,100,100,0.00E+00,658,yes,yes,yes
PGIDNB_05525,,Permease of the drug/metabolite transporter (DMT) superfamily,ACXYSJ_05560,,DMT family transporter,100,100,100,0.00E+00,587,yes,yes,yes
PGIDNB_05530,,metal-dependent phosphohydrolase,ACXYSJ_05565,,metal-dependent phosphohydrolase,100,100,100,0.00E+00,580,yes,yes,yes
PGIDNB_05535,,DUF1330 domain-containing protein,ACXYSJ_05570,,DUF1330 domain-containing protein,100,100,100,1.34E-107,300,yes,yes,yes
PGIDNB_05540,,Permease of the drug/metabolite transporter (DMT) superfamily,ACXYSJ_05575,,DMT family transporter,100,100,100,0.00E+00,600,yes,yes,yes
PGIDNB_05545,ybaK,Cys-tRNA(Pro) deacylase,ACXYSJ_05580,ybaK,Cys-tRNA(Pro) deacylase,100,100,100,1.32E-113,316,yes,yes,yes
PGIDNB_05550,,class I SAM-dependent methyltransferase,ACXYSJ_05585,,class I SAM-dependent methyltransferase,100,100,100,8.02E-154,421,yes,yes,yes
PGIDNB_05555,,Aldo/keto reductase,ACXYSJ_05590,,aldo/keto reductase,100,100,100,0.00E+00,563,yes,yes,yes
PGIDNB_05560,purA,adenylosuccinate synthase,ACXYSJ_05595,,adenylosuccinate synthase,100,100,100,0.00E+00,873,yes,yes,yes
PGIDNB_05565,,Bll7051 protein,ACXYSJ_05600,,hypothetical protein,100,100,100,0.00E+00,1068,yes,yes,yes
PGIDNB_05570,,hypothetical protein,ACXYSJ_05605,,hypothetical protein,100,100,100,3.54E-48,144,yes,yes,yes
PGIDNB_05575,,light-harvesting protein,ACXYSJ_05610,,light-harvesting protein,100,100,100,8.80E-43,130,yes,yes,yes
PGIDNB_05580,pufB,"light-harvesting antenna LH1, beta subunit",ACXYSJ_05615,pufB,"light-harvesting antenna LH1, beta subunit",100,100,100,3.70E-34,107,yes,yes,yes
PGIDNB_05585,,Methyltransferase type 11,ACXYSJ_05620,,class I SAM-dependent methyltransferase,100,100,100,1.36E-160,439,yes,yes,yes
PGIDNB_05590,,hypothetical protein,ACXYSJ_05625,,hypothetical protein,100,88.12,100,2.08E-56,166,yes,yes,yes
PGIDNB_05595,,hypothetical protein,ACXYSJ_05630,,hypothetical protein,100,100,100,3.54E-50,149,yes,yes,yes
PGIDNB_05600,ilvE,branched-chain amino acid aminotransferase,ACXYSJ_05635,,branched-chain amino acid aminotransferase,100,100,100,0.00E+00,753,yes,yes,yes
PGIDNB_05605,,"Transcriptional regulator, MarR family",ACXYSJ_05640,,MarR family winged helix-turn-helix transcriptional regulator,100,100,100,2.16E-134,370,yes,yes,yes
PGIDNB_05610,ompR,DNA-binding response regulator,ACXYSJ_05645,,response regulator,100,100,100,8.64E-175,477,yes,yes,yes
PGIDNB_05615,baeS,two-component sensor histidine kinase,ACXYSJ_05650,,ATP-binding protein,100,100,100,0.00E+00,934,yes,yes,yes
PGIDNB_05620,proC,pyrroline-5-carboxylate reductase,ACXYSJ_05655,proC,pyrroline-5-carboxylate reductase,100,100,98.93,0.00E+00,535,yes,yes,yes
PGIDNB_05625,,hypothetical protein,ACXYSJ_05660,,YbjN domain-containing protein,100,100,100,9.27E-125,345,yes,yes,yes
PGIDNB_05630,,"6,7-dimethyl-8-ribityllumazine synthase",ACXYSJ_05665,,"6,7-dimethyl-8-ribityllumazine synthase",100,100,100,9.99E-128,353,yes,yes,yes
PGIDNB_05635,prs,phosphoribosylpyrophosphate synthetase,ACXYSJ_05670,,ribose-phosphate pyrophosphokinase,100,100,100,0.00E+00,638,yes,yes,yes
PGIDNB_05640,,ABC-trans-aux domain-containing protein,ACXYSJ_05675,,hypothetical protein,100,100,100,8.00E-149,409,yes,yes,yes
PGIDNB_05645,pgeF,peptidoglycan editing factor PgeF,ACXYSJ_05680,pgeF,peptidoglycan editing factor PgeF,100,100,100,0.00E+00,511,yes,yes,yes
PGIDNB_05650,,"SAM-dependent methyltransferase, MidA family",ACXYSJ_05685,,class I SAM-dependent methyltransferase,100,94.68,100,0.00E+00,721,yes,yes,yes
PGIDNB_05655,lgt,prolipoprotein diacylglyceryl transferase,ACXYSJ_05690,lgt,prolipoprotein diacylglyceryl transferase,100,100,100,0.00E+00,564,yes,yes,yes
PGIDNB_05660,,Dienelactone hydrolase,ACXYSJ_05695,,dienelactone hydrolase family protein,100,100,100,0.00E+00,501,yes,yes,yes
PGIDNB_05665,,Membrane fusogenic activity,ACXYSJ_05700,,accessory factor UbiK family protein,100,100,100,4.38E-63,183,yes,yes,yes
PGIDNB_05670,,AMP-dependent synthetase and ligase,ACXYSJ_05705,,AMP-binding protein,100,100,100,0.00E+00,1019,yes,yes,yes
PGIDNB_05675,,Late embryogenesis abundant protein,ACXYSJ_05710,,hypothetical protein,100,100,100,0.00E+00,799,yes,yes,yes
PGIDNB_05680,,hypothetical protein,ACXYSJ_05715,,hypothetical protein,100,100,100,8.75E-136,375,yes,yes,yes
PGIDNB_05685,,"Putative Holin-X, holin superfamily III",ACXYSJ_05720,,phage holin family protein,100,100,100,6.15E-91,256,yes,yes,yes
PGIDNB_05690,,hypothetical protein,ACXYSJ_05725,,hypothetical protein,100,100,100,1.13E-173,474,yes,yes,yes
PGIDNB_05695,,hypothetical protein,ACXYSJ_05730,,hypothetical protein,100,100,100,1.87E-32,102,yes,yes,yes
PGIDNB_05700,,DNA-binding response regulator,ACXYSJ_05735,,response regulator,100,100,100,0.00E+00,623,yes,yes,yes
PGIDNB_05705,,hybrid sensor histidine kinase/response regulator,ACXYSJ_05740,,ATP-binding protein,100,100,100,0.00E+00,2297,yes,yes,yes
PGIDNB_05710,urtA,urea ABC transporter substrate-binding protein,ACXYSJ_05745,urtA,urea ABC transporter substrate-binding protein,100,100,100,0.00E+00,869,yes,yes,yes
PGIDNB_05715,urtB,urea ABC transporter permease subunit UrtB,ACXYSJ_05750,urtB,urea ABC transporter permease subunit UrtB,100,100,100,0.00E+00,613,yes,yes,yes
PGIDNB_05720,urtC,urea ABC transporter permease subunit UrtC,ACXYSJ_05755,urtC,urea ABC transporter permease subunit UrtC,100,100,100,0.00E+00,763,yes,yes,yes
PGIDNB_05725,urtD,urea ABC transporter ATP-binding protein UrtD,ACXYSJ_05760,urtD,urea ABC transporter ATP-binding protein UrtD,100,100,100,0.00E+00,512,yes,yes,yes
PGIDNB_05730,urtE,urea ABC transporter ATP-binding subunit UrtE,ACXYSJ_05765,urtE,urea ABC transporter ATP-binding subunit UrtE,100,100,100,6.82E-168,459,yes,yes,yes
PGIDNB_05735,fmdA,formamidase,ACXYSJ_05770,fmdA,formamidase,100,100,100,0.00E+00,840,yes,yes,yes
PGIDNB_05740,,Putative formamidase regulatory protein FmdB,ACXYSJ_05775,,FmdB family zinc ribbon protein,100,100,100,4.06E-84,238,yes,yes,yes
PGIDNB_05745,cobS,adenosylcobinamide-GDP ribazoletransferase,ACXYSJ_05780,cobS,adenosylcobinamide-GDP ribazoletransferase,100,100,100,0.00E+00,517,yes,yes,yes
PGIDNB_05750,hyfB,hydrogenase 4 subunit B,ACXYSJ_05785,hyfB,hydrogenase 4 subunit B,100,100,100,0.00E+00,1313,yes,yes,yes
PGIDNB_05755,,Formate hydrogenlyase,ACXYSJ_05790,,respiratory chain complex I subunit 1 family protein,100,100,100,0.00E+00,624,yes,yes,yes
PGIDNB_05760,,hydrogenase-4 component E,ACXYSJ_05795,,hydrogenase-4 component E,100,100,100,1.30E-154,424,yes,yes,yes
PGIDNB_05765,,hydrogenase 4 subunit F,ACXYSJ_05800,,hydrogenase 4 subunit F,100,100,100,0.00E+00,945,yes,yes,yes
PGIDNB_05770,,"NADH-ubiquinone oxidoreductase, chain 49kDa",ACXYSJ_05805,,hydrogenase large subunit,100,100,100,0.00E+00,1006,yes,yes,yes
PGIDNB_05775,,hydrogenase,ACXYSJ_05810,,NADH-quinone oxidoreductase subunit B family protein,100,100,100,5.63E-130,358,yes,yes,yes
PGIDNB_05780,,Outer membrane autotransporter barrel,ACXYSJ_05815,,autotransporter domain-containing protein,100,100,100,0.00E+00,1368,yes,yes,yes
PGIDNB_05785,,FAD-binding oxidoreductase,ACXYSJ_05820,,FAD-binding oxidoreductase,100,100,100,0.00E+00,1090,yes,yes,yes
PGIDNB_05790,,DUF1153 domain-containing protein,ACXYSJ_05825,sciP,CtrA inhibitor SciP,100,100,100,3.62E-65,188,yes,yes,yes
PGIDNB_05795,fliF,flagellar M-ring protein FliF,ACXYSJ_05830,fliF,flagellar basal-body MS-ring/collar protein FliF,100,100,100,0.00E+00,1070,yes,yes,yes
PGIDNB_05800,fliG,flagellar motor switch protein FliG,ACXYSJ_05835,fliG,flagellar motor switch protein FliG,100,100,100,0.00E+00,731,yes,yes,yes
PGIDNB_05805,fliH,flagellar assembly protein H,ACXYSJ_05840,,FliH/SctL family protein,100,100,100,3.24E-145,399,yes,yes,yes
PGIDNB_05810,fliN,flagellar motor switch protein FliN,ACXYSJ_05845,fliN,flagellar motor switch protein FliN,100,100,100,2.26E-79,226,yes,yes,yes
PGIDNB_05815,atoC,sigma-54-dependent Fis family transcriptional regulator,ACXYSJ_05850,flbD,sigma-54-dependent transcriptional regulator FlbD,100,100,100,0.00E+00,920,yes,yes,yes
PGIDNB_05820,,hypothetical protein,ACXYSJ_05855,,hypothetical protein,100,100,100,1.99E-33,105,yes,yes,yes
PGIDNB_05825,,DUF1488 domain-containing protein,ACXYSJ_05860,,DUF1488 domain-containing protein,100,100,100,1.09E-65,189,yes,yes,yes
PGIDNB_05830,,hypothetical protein,ACXYSJ_05865,,hypothetical protein,100,100,100,1.41E-62,181,yes,yes,yes
PGIDNB_05835,yebA,transglutaminase,ACXYSJ_05870,,transglutaminase-like domain-containing protein,100,100,100,0.00E+00,566,yes,yes,yes
PGIDNB_05840,recD,ATP-binding protein,ACXYSJ_05875,,ATP-dependent DNA helicase,100,100,100,0.00E+00,760,yes,yes,yes
PGIDNB_05845,,"Cache, type 2",ACXYSJ_05880,,cache domain-containing protein,100,100,100,0.00E+00,1321,yes,yes,yes
PGIDNB_05850,,Methyltransferase type 12,ACXYSJ_05885,,methyltransferase domain-containing protein,100,100,100,4.28E-172,469,yes,yes,yes
PGIDNB_05855,,DNA starvation/stationary phase protection protein,ACXYSJ_05890,,Dps family protein,100,100,100,4.26E-132,364,yes,yes,yes
PGIDNB_05860,,Putative-PNPOx domain-containing protein,ACXYSJ_05895,,pyridoxamine 5'-phosphate oxidase family protein,99.51,97.13,100,6.22E-151,414,yes,yes,yes
PGIDNB_05865,phnN,"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN",ACXYSJ_05900,phnN,"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN",100,100,100,1.54E-143,395,yes,yes,yes
PGIDNB_05870,phnM,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,ACXYSJ_05905,,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,100,100,100,0.00E+00,770,yes,yes,yes
PGIDNB_05875,phnL,phosphonate C-P lyase system protein PhnL,ACXYSJ_05910,phnL,phosphonate C-P lyase system protein PhnL,100,100,100,2.68E-171,468,yes,yes,yes
PGIDNB_05880,phnK,phosphonate C-P lyase system protein PhnK,ACXYSJ_05915,phnK,phosphonate C-P lyase system protein PhnK,100,100,100,0.00E+00,533,yes,yes,yes
PGIDNB_05885,phnJ,carbon-phosphorus lyase,ACXYSJ_05920,,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ,100,100,100,0.00E+00,611,yes,yes,yes
PGIDNB_05890,,carbon-phosphorus lyase complex subunit PhnI,ACXYSJ_05925,,carbon-phosphorus lyase complex subunit PhnI,100,100,100,0.00E+00,736,yes,yes,yes
PGIDNB_05895,phnH,phosphonate C-P lyase system protein PhnH,ACXYSJ_05930,phnH,phosphonate C-P lyase system protein PhnH,100,100,100,1.01E-145,400,yes,yes,yes
PGIDNB_05900,phnG,phosphonate C-P lyase system protein PhnG,ACXYSJ_05935,phnG,phosphonate C-P lyase system protein PhnG,100,89.82,100,3.47E-107,300,yes,yes,yes
PGIDNB_05905,phnF,phosphonate metabolism transcriptional regulator PhnF,ACXYSJ_05940,phnF,phosphonate metabolism transcriptional regulator PhnF,100,100,100,1.05E-173,474,yes,yes,yes
PGIDNB_05910,phnE,"phosphonate ABC transporter, permease protein PhnE",ACXYSJ_05945,phnE,"phosphonate ABC transporter, permease protein PhnE",100,100,100,0.00E+00,545,yes,yes,yes
PGIDNB_05915,phnE,"phosphonate ABC transporter, permease protein PhnE",ACXYSJ_05950,phnE,"phosphonate ABC transporter, permease protein PhnE",100,100,100,0.00E+00,580,yes,yes,yes
PGIDNB_05920,phnD,phosphonate ABC transporter substrate-binding protein,ACXYSJ_05955,phnD,phosphonate ABC transporter substrate-binding protein,100,100,100,0.00E+00,639,yes,yes,yes
PGIDNB_05925,phnC,phosphonate ABC transporter ATP-binding protein,ACXYSJ_05960,phnC,phosphonate ABC transporter ATP-binding protein,100,100,100,0.00E+00,542,yes,yes,yes
PGIDNB_05930,,"Putative acetyltransferase (Virginiamycin, streptogramin A, chloramphenicol)",ACXYSJ_05965,,transferase hexapeptide repeat family protein,100,100,98.17,1.31E-163,447,yes,yes,yes
PGIDNB_05935,,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,ACXYSJ_05970,,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,100,100,100,0.00E+00,792,yes,yes,yes
PGIDNB_05940,,Putative phosphonate metabolism protein,ACXYSJ_05975,,DUF1045 domain-containing protein,100,100,100,2.72E-174,475,yes,yes,yes
PGIDNB_05945,"menE,fadK",fatty-acid--CoA ligase,ACXYSJ_05980,,acyl-CoA synthetase,100,100,100,0.00E+00,1060,yes,yes,yes
PGIDNB_05950,,"Transcriptional regulator, TetR family",ACXYSJ_05985,,TetR family transcriptional regulator,100,100,100,5.35E-177,482,yes,yes,yes
PGIDNB_05955,paaJ,lipid-transfer protein,ACXYSJ_05990,,lipid-transfer protein,100,100,100,0.00E+00,805,yes,yes,yes
PGIDNB_05960,,MaoC family dehydratase,ACXYSJ_05995,,MaoC family dehydratase N-terminal domain-containing protein,100,100,100,1.03E-107,300,yes,yes,yes
PGIDNB_05965,,MaoC-like dehydratase,ACXYSJ_06000,,MaoC family dehydratase,100,97.81,100,3.01E-98,275,yes,yes,yes
PGIDNB_05970,,3-oxoacyl-ACP reductase,ACXYSJ_06005,,SDR family NAD(P)-dependent oxidoreductase,100,100,100,0.00E+00,555,yes,yes,yes
PGIDNB_05975,caiA,acyl-CoA dehydrogenase,ACXYSJ_06010,,acyl-CoA dehydrogenase family protein,100,100,100,0.00E+00,786,yes,yes,yes
PGIDNB_05980,,enoyl-CoA hydratase,ACXYSJ_06015,,enoyl-CoA hydratase-related protein,100,100,100,0.00E+00,499,yes,yes,yes
PGIDNB_05985,,AMP-dependent synthetase and ligase,ACXYSJ_06020,,acyl-CoA synthetase,100,100,100,0.00E+00,1043,yes,yes,yes
PGIDNB_05990,,hypothetical protein,ACXYSJ_06025,,hypothetical protein,100,100,100,1.75E-109,305,yes,yes,yes
PGIDNB_05995,,hypothetical protein,ACXYSJ_06030,,hypothetical protein,98.65,100,73.27,2.27E-49,148,yes,yes,yes
PGIDNB_06000,,"Transcriptional regulator, Crp/Fnr family",ACXYSJ_06035,,Crp/Fnr family transcriptional regulator,100,100,100,0.00E+00,504,yes,yes,yes
PGIDNB_06005,ilvD,dihydroxy-acid dehydratase,ACXYSJ_06040,ilvD,dihydroxy-acid dehydratase,100,100,100,0.00E+00,1265,yes,yes,yes
PGIDNB_06010,,gamma-glutamyl-gamma-aminobutyrate hydrolase,ACXYSJ_06045,,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,100,100,100,0.00E+00,539,yes,yes,yes
PGIDNB_06015,atzF,allophanate hydrolase,ACXYSJ_06050,atzF,allophanate hydrolase,100,100,100,0.00E+00,1186,yes,yes,yes
PGIDNB_06020,,"Transcriptional regulator, GntR family",ACXYSJ_06055,,GntR family transcriptional regulator,99.53,90.3,100,1.92E-155,427,yes,yes,yes
PGIDNB_06025,,hypothetical protein,ACXYSJ_06060,,hypothetical protein,100,97.48,100,9.36E-110,306,yes,yes,yes
PGIDNB_06030,,hypothetical protein,ACXYSJ_06065,,hypothetical protein,100,97.75,100,1.37E-58,171,yes,yes,yes
PGIDNB_06035,,Putative transport system ATP-binding protein,ACXYSJ_21565,,ABC transporter ATP-binding protein,33.93,131.76,31.2,5.99E-11,53.9,no,no,no
PGIDNB_06040,,Metallophosphoesterase,ACXYSJ_06075,,phosphodiesterase,100,100,100,0.00E+00,558,yes,yes,yes
PGIDNB_06045,,Response regulator receiver,ACXYSJ_06080,,response regulator,100,100,100,2.87E-86,244,yes,yes,yes
PGIDNB_06050,,AB hydrolase-1 domain-containing protein,ACXYSJ_06085,,alpha/beta fold hydrolase,100,100,100,0.00E+00,572,yes,yes,yes
PGIDNB_06055,,FAD dependent oxidoreductase,ACXYSJ_06090,,NAD(P)/FAD-dependent oxidoreductase,100,100,100,0.00E+00,825,yes,yes,yes
PGIDNB_06060,pgm,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",ACXYSJ_06095,pgm,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",100,100,100,0.00E+00,1114,yes,yes,yes
PGIDNB_06065,,NnrU family protein,ACXYSJ_06100,,NnrU family protein,100,100,100,3.88E-163,447,yes,yes,yes
PGIDNB_06070,,short-chain dehydrogenase,ACXYSJ_06105,,NnrS family protein,100,93.36,100,0.00E+00,793,yes,yes,yes
PGIDNB_06075,,hemerythrin,ACXYSJ_06110,,DUF2249 domain-containing protein,100,100,100,9.02E-58,169,yes,yes,yes
PGIDNB_06080,citB,DNA-binding response regulator,ACXYSJ_06115,,response regulator,100,100,100,1.28E-163,447,yes,yes,yes
PGIDNB_06085,,ATPase,ACXYSJ_06120,,GAF domain-containing protein,100,100,100,0.00E+00,1556,yes,yes,yes
PGIDNB_06090,pufB,"light-harvesting antenna LH1, beta subunit",ACXYSJ_06125,pufB,"light-harvesting antenna LH1, beta subunit",100,100,100,3.00E-34,107,yes,yes,yes
PGIDNB_06095,,light-harvesting protein,ACXYSJ_06130,,light-harvesting protein,100,100,100,1.72E-38,118,yes,yes,yes
PGIDNB_06100,,MFS transporter,ACXYSJ_06135,,PucC family protein,100,100,100,0.00E+00,928,yes,yes,yes
PGIDNB_06105,,hypothetical protein,ACXYSJ_06140,,hypothetical protein,100,100,100,2.46E-159,436,yes,yes,yes
PGIDNB_06110,,hypothetical protein,ACXYSJ_06145,,hypothetical protein,100,100,100,4.36E-62,181,yes,yes,yes
PGIDNB_06115,,Putative monooxygenase,ACXYSJ_06150,,flavin-containing monooxygenase,100,100,100,0.00E+00,1061,yes,yes,yes
PGIDNB_06120,,Secretion protein HlyD,ACXYSJ_06160,,efflux RND transporter periplasmic adaptor subunit,100,100,100,0.00E+00,795,yes,yes,yes
PGIDNB_06125,,Efflux pump membrane transporter,ACXYSJ_06165,,multidrug efflux RND transporter permease subunit,100,100,100,0.00E+00,2121,yes,yes,yes
PGIDNB_06130,,hypothetical protein,ACXYSJ_06170,,hypothetical protein,100,100,100,6.79E-103,288,yes,yes,yes
PGIDNB_06135,,DUF2383 domain-containing protein,ACXYSJ_06175,,PA2169 family four-helix-bundle protein,99.33,100,97.4,1.35E-108,303,yes,yes,yes
PGIDNB_06140,,coenzyme F420 hydrogenase,ACXYSJ_06180,,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain",100,100,100,0.00E+00,846,yes,yes,yes
PGIDNB_06145,,NTP-transf-9 domain-containing protein,ACXYSJ_06185,,DUF427 domain-containing protein,100,100,100,4.39E-121,335,yes,yes,yes
PGIDNB_06150,,CIA30 family protein,ACXYSJ_06190,,CIA30 family protein,100,100,100,5.05E-118,327,yes,yes,yes
PGIDNB_06155,,alpha/beta hydrolase,ACXYSJ_06195,,dienelactone hydrolase family protein,100,100,100,0.00E+00,1061,yes,yes,yes
PGIDNB_06160,,DUF3422 domain-containing protein,ACXYSJ_06200,,DUF3422 family protein,100,100,100,0.00E+00,884,yes,yes,yes
PGIDNB_06165,hemC,hydroxymethylbilane synthase,ACXYSJ_06205,hemC,hydroxymethylbilane synthase,100,100,100,0.00E+00,660,yes,yes,yes
PGIDNB_06170,bchI,magnesium chelatase ATPase subunit I,ACXYSJ_06210,bchI,magnesium chelatase ATPase subunit I,100,100,100,0.00E+00,674,yes,yes,yes
PGIDNB_06175,bchD,magnesium chelatase subunit D,ACXYSJ_06215,,magnesium chelatase subunit D,100,100,100,0.00E+00,1148,yes,yes,yes
PGIDNB_06180,hemE,uroporphyrinogen decarboxylase,ACXYSJ_06220,hemE,uroporphyrinogen decarboxylase,100,100,93.39,0.00E+00,661,yes,yes,yes
PGIDNB_06185,,Pimeloyl-ACP methyl ester carboxylesterase,ACXYSJ_06225,,alpha/beta fold hydrolase,100,98.14,100,0.00E+00,652,yes,yes,yes
PGIDNB_06190,,Alpha/beta hydrolase fold,ACXYSJ_06230,bchO,alpha/beta fold hydrolase BchO,100,100,100,0.00E+00,584,yes,yes,yes
