reaction_id,base_token,bridge_type,met_from,met_to,reaction_name,lower_bound,upper_bound,gene_reaction_rule,equation,action
TR_pe161_cp,pe161,cp,pe161_p,pe161_c,pe161 transport c<->p,-1000.0,1000.0,,pe161_p <=> pe161_c,
TR_pe180_cp,pe180,cp,pe180_p,pe180_c,pe180 transport c<->p,-1000.0,1000.0,,pe180_p <=> pe180_c,
TR_pe181_cp,pe181,cp,pe181_p,pe181_c,pe181 transport c<->p,-1000.0,1000.0,,pe181_p <=> pe181_c,
TR_pg120_cp,pg120,cp,pg120_p,pg120_c,pg120 transport c<->p,-1000.0,1000.0,,pg120_p <=> pg120_c,
TR_pg140_cp,pg140,cp,pg140_p,pg140_c,pg140 transport c<->p,-1000.0,1000.0,,pg140_p <=> pg140_c,
TR_pg141_cp,pg141,cp,pg141_p,pg141_c,pg141 transport c<->p,-1000.0,1000.0,,pg141_p <=> pg141_c,
TR_pg160_cp,pg160,cp,pg160_p,pg160_c,pg160 transport c<->p,-1000.0,1000.0,,pg160_p <=> pg160_c,
TR_pg161_cp,pg161,cp,pg161_p,pg161_c,pg161 transport c<->p,-1000.0,1000.0,,pg161_p <=> pg161_c,
TR_pg180_cp,pg180,cp,pg180_p,pg180_c,pg180 transport c<->p,-1000.0,1000.0,,pg180_p <=> pg180_c,
TR_pg181_cp,pg181,cp,pg181_p,pg181_c,pg181 transport c<->p,-1000.0,1000.0,,pg181_p <=> pg181_c,
TR_pq_cp,pq,cp,pq_p,pq_c,pq transport c<->p,-1000.0,1000.0,,pq_p <=> pq_c,
TR_pqh2_cp,pqh2,cp,pqh2_p,pqh2_c,pqh2 transport c<->p,-1000.0,1000.0,,pqh2_p <=> pqh2_c,
TR_pser__L_cp,pser__L,cp,pser__L_p,pser__L_c,pser__L transport c<->p,-1000.0,1000.0,,pser__L_p <=> pser__L_c,
TR_r5p_cp,r5p,cp,r5p_p,r5p_c,r5p transport c<->p,-1000.0,1000.0,,r5p_p <=> r5p_c,
TR_ribflv_cp,ribflv,cp,ribflv_p,ribflv_c,ribflv transport c<->p,-1000.0,1000.0,,ribflv_p <=> ribflv_c,
TR_sheme_cp,sheme,cp,sheme_p,sheme_c,sheme transport c<->p,-1000.0,1000.0,,sheme_p <=> sheme_c,
TR_succ_cp,succ,cp,succ_p,succ_c,succ transport c<->p,-1000.0,1000.0,,succ_p <=> succ_c,
TR_thrp_cp,thrp,cp,thrp_p,thrp_c,thrp transport c<->p,-1000.0,1000.0,,thrp_p <=> thrp_c,
TR_tre_cp,tre,cp,tre_p,tre_c,tre transport c<->p,-1000.0,1000.0,,tre_p <=> tre_c,
TR_ttdca_cp,ttdca,cp,ttdca_p,ttdca_c,ttdca transport c<->p,-1000.0,1000.0,,ttdca_p <=> ttdca_c,
TR_ttdcea_cp,ttdcea,cp,ttdcea_p,ttdcea_c,ttdcea transport c<->p,-1000.0,1000.0,,ttdcea_p <=> ttdcea_c,
TR_udcpdp_cp,udcpdp,cp,udcpdp_p,udcpdp_c,udcpdp transport c<->p,-1000.0,1000.0,,udcpdp_p <=> udcpdp_c,
TR_ump_cp,ump,cp,ump_p,ump_c,ump transport c<->p,-1000.0,1000.0,,ump_p <=> ump_c,
TR_xmp_cp,xmp,cp,xmp_p,xmp_c,xmp transport c<->p,-1000.0,1000.0,,xmp_p <=> xmp_c,
TR_adn_ep,adn,ep,adn_e,adn_p,adn transport e<->p,-1000.0,1000.0,,adn_e <=> adn_p,
TR_ala__D_ep,ala__D,ep,ala__D_e,ala__D_p,ala__D transport e<->p,-1000.0,1000.0,,ala__D_e <=> ala__D_p,
TR_ala__L_ep,ala__L,ep,ala__L_e,ala__L_p,ala__L transport e<->p,-1000.0,1000.0,,ala__L_e <=> ala__L_p,
TR_arbt_ep,arbt,ep,arbt_e,arbt_p,arbt transport e<->p,-1000.0,1000.0,,arbt_e <=> arbt_p,
TR_aso4_ep,aso4,ep,aso4_e,aso4_p,aso4 transport e<->p,-1000.0,1000.0,,aso4_e <=> aso4_p,
TR_cd2_ep,cd2,ep,cd2_e,cd2_p,cd2 transport e<->p,-1000.0,1000.0,,cd2_e <=> cd2_p,
TR_cgly_ep,cgly,ep,cgly_e,cgly_p,cgly transport e<->p,-1000.0,1000.0,,cgly_e <=> cgly_p,
TR_cu2_ep,cu2,ep,cu2_e,cu2_p,cu2 transport e<->p,-1000.0,1000.0,,cu2_e <=> cu2_p,
TR_dad_2_ep,dad_2,ep,dad_2_e,dad_2_p,dad_2 transport e<->p,-1000.0,1000.0,,dad_2_e <=> dad_2_p,
TR_dcyt_ep,dcyt,ep,dcyt_e,dcyt_p,dcyt transport e<->p,-1000.0,1000.0,,dcyt_e <=> dcyt_p,
TR_etoh_ep,etoh,ep,etoh_e,etoh_p,etoh transport e<->p,-1000.0,1000.0,,etoh_e <=> etoh_p,
TR_glc__D_ep,glc__D,ep,glc__D_e,glc__D_p,glc__D transport e<->p,-1000.0,1000.0,,glc__D_e <=> glc__D_p,
TR_glu__L_ep,glu__L,ep,glu__L_e,glu__L_p,glu__L transport e<->p,-1000.0,1000.0,,glu__L_e <=> glu__L_p,
TR_glyb_ep,glyb,ep,glyb_e,glyb_p,glyb transport e<->p,-1000.0,1000.0,,glyb_e <=> glyb_p,
TR_glyc_ep,glyc,ep,glyc_e,glyc_p,glyc transport e<->p,-1000.0,1000.0,,glyc_e <=> glyc_p,
TR_gthrd_ep,gthrd,ep,gthrd_e,gthrd_p,gthrd transport e<->p,-1000.0,1000.0,,gthrd_e <=> gthrd_p,
TR_h2_ep,h2,ep,h2_e,h2_p,h2 transport e<->p,-1000.0,1000.0,,h2_e <=> h2_p,
TR_ile__L_ep,ile__L,ep,ile__L_e,ile__L_p,ile__L transport e<->p,-1000.0,1000.0,,ile__L_e <=> ile__L_p,
TR_lys__L_ep,lys__L,ep,lys__L_e,lys__L_p,lys__L transport e<->p,-1000.0,1000.0,,lys__L_e <=> lys__L_p,
TR_man_ep,man,ep,man_e,man_p,man transport e<->p,-1000.0,1000.0,,man_e <=> man_p,
TR_murein4p3p_ep,murein4p3p,ep,murein4p3p_e,murein4p3p_p,murein4p3p transport e<->p,-1000.0,1000.0,,murein4p3p_e <=> murein4p3p_p,
TR_murein4p4p_ep,murein4p4p,ep,murein4p4p_e,murein4p4p_p,murein4p4p transport e<->p,-1000.0,1000.0,,murein4p4p_e <=> murein4p4p_p,
TR_murein4px4p_ep,murein4px4p,ep,murein4px4p_e,murein4px4p_p,murein4px4p transport e<->p,-1000.0,1000.0,,murein4px4p_e <=> murein4px4p_p,
TR_murein4px4px4p_ep,murein4px4px4p,ep,murein4px4px4p_e,murein4px4px4p_p,murein4px4px4p transport e<->p,-1000.0,1000.0,,murein4px4px4p_e <=> murein4px4px4p_p,
TR_murein5p3p_ep,murein5p3p,ep,murein5p3p_e,murein5p3p_p,murein5p3p transport e<->p,-1000.0,1000.0,,murein5p3p_e <=> murein5p3p_p,
TR_murein5p4p_ep,murein5p4p,ep,murein5p4p_e,murein5p4p_p,murein5p4p transport e<->p,-1000.0,1000.0,,murein5p4p_e <=> murein5p4p_p,
TR_murein5p5p_ep,murein5p5p,ep,murein5p5p_e,murein5p5p_p,murein5p5p transport e<->p,-1000.0,1000.0,,murein5p5p_e <=> murein5p5p_p,
TR_murein5px4p_ep,murein5px4p,ep,murein5px4p_e,murein5px4p_p,murein5px4p transport e<->p,-1000.0,1000.0,,murein5px4p_e <=> murein5px4p_p,
TR_murein5px4px4p_ep,murein5px4px4p,ep,murein5px4px4p_e,murein5px4px4p_p,murein5px4px4p transport e<->p,-1000.0,1000.0,,murein5px4px4p_e <=> murein5px4px4p_p,
TR_octa_ep,octa,ep,octa_e,octa_p,octa transport e<->p,-1000.0,1000.0,,octa_e <=> octa_p,
TR_ppa_ep,ppa,ep,ppa_e,ppa_p,ppa transport e<->p,-1000.0,1000.0,,ppa_e <=> ppa_p,
TR_pro__L_ep,pro__L,ep,pro__L_e,pro__L_p,pro__L transport e<->p,-1000.0,1000.0,,pro__L_e <=> pro__L_p,
TR_skm_ep,skm,ep,skm_e,skm_p,skm transport e<->p,-1000.0,1000.0,,skm_e <=> skm_p,
TR_so4_ep,so4,ep,so4_e,so4_p,so4 transport e<->p,-1000.0,1000.0,,so4_e <=> so4_p,
TR_taur_ep,taur,ep,taur_e,taur_p,taur transport e<->p,-1000.0,1000.0,,taur_e <=> taur_p,
TR_val__L_ep,val__L,ep,val__L_e,val__L_p,val__L transport e<->p,-1000.0,1000.0,,val__L_e <=> val__L_p,
